x,w
0.000000e+00,4.886269e+03
2.000000e+03,4.749321e+03
4.000000e+03,4.608520e+03
6.000000e+03,4.466634e+03
8.000000e+03,4.324757e+03
1.000000e+04,4.183563e+03
1.200000e+04,4.043524e+03
1.400000e+04,3.904985e+03
1.600000e+04,3.768211e+03
1.800000e+04,3.633406e+03
2.000000e+04,3.500731e+03
2.200000e+04,3.370314e+03
2.400000e+04,3.242257e+03
2.600000e+04,3.116643e+03
2.800000e+04,2.993537e+03
3.000000e+04,2.872992e+03
3.200000e+04,2.755050e+03
3.400000e+04,2.639742e+03
3.600000e+04,2.527094e+03
3.800000e+04,2.417122e+03
4.000000e+04,2.309837e+03
4.200000e+04,2.205246e+03
4.400000e+04,2.103349e+03
4.600000e+04,2.004143e+03
4.800000e+04,1.907619e+03
5.000000e+04,1.813767e+03
5.200000e+04,1.722572e+03
5.400000e+04,1.634016e+03
5.600000e+04,1.548077e+03
5.800000e+04,1.464733e+03
6.000000e+04,1.383958e+03
6.200000e+04,1.305722e+03
6.400000e+04,1.229997e+03
6.600000e+04,1.156748e+03
6.800000e+04,1.085943e+03
7.000000e+04,1.017546e+03
7.200000e+04,9.515194e+02
7.400000e+04,8.878245e+02
7.600000e+04,8.264219e+02
7.800000e+04,7.672708e+02
8.000000e+04,7.103294e+02
8.200000e+04,6.555552e+02
8.400000e+04,6.029049e+02
8.600000e+04,5.523347e+02
8.800000e+04,5.038001e+02
9.000000e+04,4.572562e+02
9.200000e+04,4.126580e+02
9.400000e+04,3.699598e+02
9.600000e+04,3.291163e+02
9.800000e+04,2.900816e+02
1.000000e+05,2.528100e+02
1.020000e+05,2.172558e+02
1.040000e+05,1.833736e+02
1.060000e+05,1.511178e+02
1.080000e+05,1.204433e+02
1.100000e+05,9.130522e+01
1.120000e+05,6.365895e+01
1.140000e+05,3.746031e+01
1.160000e+05,1.266549e+01
1.180000e+05,-1.076881e+01
1.200000e+05,-3.288545e+01
1.220000e+05,-5.372674e+01
1.240000e+05,-7.333442e+01
1.260000e+05,-9.174967e+01
1.280000e+05,-1.090130e+02
1.300000e+05,-1.251644e+02
1.320000e+05,-1.402431e+02
1.340000e+05,-1.542876e+02
1.360000e+05,-1.673359e+02
1.380000e+05,-1.794251e+02
1.400000e+05,-1.905917e+02
1.420000e+05,-2.008714e+02
1.440000e+05,-2.102991e+02
1.460000e+05,-2.189091e+02
1.480000e+05,-2.267348e+02
1.500000e+05,-2.338090e+02
1.520000e+05,-2.401635e+02
1.540000e+05,-2.458294e+02
1.560000e+05,-2.508373e+02
1.580000e+05,-2.552166e+02
1.600000e+05,-2.589963e+02
1.620000e+05,-2.622044e+02
1.640000e+05,-2.648681e+02
1.660000e+05,-2.670142e+02
1.680000e+05,-2.686683e+02
1.700000e+05,-2.698554e+02
1.720000e+05,-2.706000e+02
1.740000e+05,-2.709255e+02
1.760000e+05,-2.708548e+02
1.780000e+05,-2.704101e+02
1.800000e+05,-2.696126e+02
1.820000e+05,-2.684832e+02
1.840000e+05,-2.670419e+02
1.860000e+05,-2.653079e+02
1.880000e+05,-2.633000e+02
1.900000e+05,-2.610362e+02
1.920000e+05,-2.585339e+02
1.940000e+05,-2.558098e+02
1.960000e+05,-2.528799e+02
1.980000e+05,-2.497599e+02
2.000000e+05,-2.464646e+02
2.020000e+05,-2.430084e+02
2.040000e+05,-2.394049e+02
2.060000e+05,-2.356674e+02
2.080000e+05,-2.318085e+02
2.100000e+05,-2.278404e+02
2.120000e+05,-2.237746e+02
2.140000e+05,-2.196222e+02
2.160000e+05,-2.153937e+02
2.180000e+05,-2.110994e+02
2.200000e+05,-2.067488e+02
2.220000e+05,-2.023511e+02
2.240000e+05,-1.979151e+02
2.260000e+05,-1.934489e+02
2.280000e+05,-1.889607e+02
2.300000e+05,-1.844577e+02
2.320000e+05,-1.799471e+02
2.340000e+05,-1.754355e+02
2.360000e+05,-1.709294e+02
2.380000e+05,-1.664347e+02
2.400000e+05,-1.619569e+02
2.420000e+05,-1.575015e+02
2.440000e+05,-1.530733e+02
2.460000e+05,-1.486770e+02
2.480000e+05,-1.443170e+02
2.500000e+05,-1.399973e+02
2.520000e+05,-1.357216e+02
2.540000e+05,-1.314936e+02
2.560000e+05,-1.273164e+02
2.580000e+05,-1.231931e+02
2.600000e+05,-1.191263e+02
2.620000e+05,-1.151187e+02
2.640000e+05,-1.111725e+02
2.660000e+05,-1.072897e+02
2.680000e+05,-1.034724e+02
2.700000e+05,-9.972217e+01
2.720000e+05,-9.604051e+01
2.740000e+05,-9.242875e+01
2.760000e+05,-8.888806e+01
2.780000e+05,-8.541943e+01
2.800000e+05,-8.202369e+01
2.820000e+05,-7.870153e+01
2.840000e+05,-7.545350e+01
2.860000e+05,-7.228002e+01
2.880000e+05,-6.918138e+01
2.900000e+05,-6.615774e+01
2.920000e+05,-6.320917e+01
2.940000e+05,-6.033561e+01
2.960000e+05,-5.753691e+01
2.980000e+05,-5.481282e+01
3.000000e+05,-5.216300e+01
3.020000e+05,-4.958703e+01
3.040000e+05,-4.708441e+01
3.060000e+05,-4.465457e+01
3.080000e+05,-4.229686e+01
3.100000e+05,-4.001057e+01
3.120000e+05,-3.779493e+01
3.140000e+05,-3.564911e+01
3.160000e+05,-3.357225e+01
3.180000e+05,-3.156341e+01
3.200000e+05,-2.962163e+01
3.220000e+05,-2.774591e+01
3.240000e+05,-2.593520e+01
3.260000e+05,-2.418843e+01
3.280000e+05,-2.250448e+01
3.300000e+05,-2.088224e+01
3.320000e+05,-1.932055e+01
3.340000e+05,-1.781822e+01
3.360000e+05,-1.637408e+01
3.380000e+05,-1.498692e+01
3.400000e+05,-1.365550e+01
3.420000e+05,-1.237862e+01
3.440000e+05,-1.115502e+01
3.460000e+05,-9.983469e+00
3.480000e+05,-8.862718e+00
3.500000e+05,-7.791518e+00
3.520000e+05,-6.768622e+00
3.540000e+05,-5.792784e+00
3.560000e+05,-4.862761e+00
3.580000e+05,-3.977315e+00
3.600000e+05,-3.135215e+00
3.620000e+05,-2.335239e+00
3.640000e+05,-1.576171e+00
3.660000e+05,-8.568077e-01
3.680000e+05,-1.759563e-01
3.700000e+05,4.675636e-01
3.720000e+05,1.074919e+00
3.740000e+05,1.647262e+00
3.760000e+05,2.185732e+00
3.780000e+05,2.691450e+00
3.800000e+05,3.165521e+00
3.820000e+05,3.609033e+00
3.840000e+05,4.023059e+00
3.860000e+05,4.408650e+00
3.880000e+05,4.766840e+00
3.900000e+05,5.098645e+00
3.920000e+05,5.405059e+00
3.940000e+05,5.687059e+00
3.960000e+05,5.945601e+00
3.980000e+05,6.181620e+00
4.000000e+05,6.396032e+00
4.020000e+05,6.589731e+00
4.040000e+05,6.763592e+00
4.060000e+05,6.918468e+00
4.080000e+05,7.055192e+00
4.100000e+05,7.174575e+00
4.120000e+05,7.277410e+00
4.140000e+05,7.364467e+00
4.160000e+05,7.436495e+00
4.180000e+05,7.494224e+00
4.200000e+05,7.538364e+00
4.220000e+05,7.569602e+00
4.240000e+05,7.588607e+00
4.260000e+05,7.596028e+00
4.280000e+05,7.592495e+00
4.300000e+05,7.578616e+00
4.320000e+05,7.554982e+00
4.340000e+05,7.522164e+00
4.360000e+05,7.480715e+00
4.380000e+05,7.431168e+00
4.400000e+05,7.374039e+00
4.420000e+05,7.309826e+00
4.440000e+05,7.239009e+00
4.460000e+05,7.162051e+00
4.480000e+05,7.079397e+00
4.500000e+05,6.991477e+00
4.520000e+05,6.898703e+00
4.540000e+05,6.801472e+00
4.560000e+05,6.700166e+00
4.580000e+05,6.595149e+00
4.600000e+05,6.486772e+00
4.620000e+05,6.375371e+00
4.640000e+05,6.261268e+00
4.660000e+05,6.144770e+00
4.680000e+05,6.026171e+00
4.700000e+05,5.905752e+00
4.720000e+05,5.783781e+00
4.740000e+05,5.660512e+00
4.760000e+05,5.536188e+00
4.780000e+05,5.411040e+00
4.800000e+05,5.285287e+00
4.820000e+05,5.159138e+00
4.840000e+05,5.032789e+00
4.860000e+05,4.906426e+00
4.880000e+05,4.780227e+00
4.900000e+05,4.654356e+00
4.920000e+05,4.528972e+00
4.940000e+05,4.404220e+00
4.960000e+05,4.280239e+00
4.980000e+05,4.157159e+00
5.000000e+05,4.035102e+00
5.020000e+05,3.914179e+00
5.040000e+05,3.794496e+00
5.060000e+05,3.676152e+00
5.080000e+05,3.559236e+00
5.100000e+05,3.443831e+00
5.120000e+05,3.330016e+00
5.140000e+05,3.217859e+00
5.160000e+05,3.107426e+00
5.180000e+05,2.998774e+00
5.200000e+05,2.891956e+00
