x,w
0.000000e+00,1.708726e+03
2.000000e+03,1.692036e+03
4.000000e+03,1.675345e+03
6.000000e+03,1.658660e+03
8.000000e+03,1.641987e+03
1.000000e+04,1.625331e+03
1.200000e+04,1.608695e+03
1.400000e+04,1.592083e+03
1.600000e+04,1.575497e+03
1.800000e+04,1.558942e+03
2.000000e+04,1.542419e+03
2.200000e+04,1.525932e+03
2.400000e+04,1.509483e+03
2.600000e+04,1.493074e+03
2.800000e+04,1.476708e+03
3.000000e+04,1.460386e+03
3.200000e+04,1.444111e+03
3.400000e+04,1.427886e+03
3.600000e+04,1.411711e+03
3.800000e+04,1.395589e+03
4.000000e+04,1.379523e+03
4.200000e+04,1.363513e+03
4.400000e+04,1.347561e+03
4.600000e+04,1.331670e+03
4.800000e+04,1.315841e+03
5.000000e+04,1.300076e+03
5.200000e+04,1.284377e+03
5.400000e+04,1.268744e+03
5.600000e+04,1.253180e+03
5.800000e+04,1.237686e+03
6.000000e+04,1.222263e+03
6.200000e+04,1.206914e+03
6.400000e+04,1.191639e+03
6.600000e+04,1.176439e+03
6.800000e+04,1.161317e+03
7.000000e+04,1.146273e+03
7.200000e+04,1.131308e+03
7.400000e+04,1.116424e+03
7.600000e+04,1.101623e+03
7.800000e+04,1.086904e+03
8.000000e+04,1.072269e+03
8.200000e+04,1.057719e+03
8.400000e+04,1.043256e+03
8.600000e+04,1.028879e+03
8.800000e+04,1.014591e+03
9.000000e+04,1.000392e+03
9.200000e+04,9.862823e+02
9.400000e+04,9.722636e+02
9.600000e+04,9.583364e+02
9.800000e+04,9.445015e+02
1.000000e+05,9.307596e+02
1.020000e+05,9.171115e+02
1.040000e+05,9.035578e+02
1.060000e+05,8.900993e+02
1.080000e+05,8.767364e+02
1.100000e+05,8.634699e+02
1.120000e+05,8.503003e+02
1.140000e+05,8.372281e+02
1.160000e+05,8.242539e+02
1.180000e+05,8.113781e+02
1.200000e+05,7.986011e+02
1.220000e+05,7.859235e+02
1.240000e+05,7.733455e+02
1.260000e+05,7.608677e+02
1.280000e+05,7.484903e+02
1.300000e+05,7.362137e+02
1.320000e+05,7.240381e+02
1.340000e+05,7.119639e+02
1.360000e+05,6.999913e+02
1.380000e+05,6.881205e+02
1.400000e+05,6.763518e+02
1.420000e+05,6.646853e+02
1.440000e+05,6.531211e+02
1.460000e+05,6.416596e+02
1.480000e+05,6.303006e+02
1.500000e+05,6.190445e+02
1.520000e+05,6.078911e+02
1.540000e+05,5.968407e+02
1.560000e+05,5.858932e+02
1.580000e+05,5.750486e+02
1.600000e+05,5.643070e+02
1.620000e+05,5.536683e+02
1.640000e+05,5.431325e+02
1.660000e+05,5.326996e+02
1.680000e+05,5.223694e+02
1.700000e+05,5.121420e+02
1.720000e+05,5.020170e+02
1.740000e+05,4.919946e+02
1.760000e+05,4.820744e+02
1.780000e+05,4.722565e+02
1.800000e+05,4.625405e+02
1.820000e+05,4.529263e+02
1.840000e+05,4.434137e+02
1.860000e+05,4.340025e+02
1.880000e+05,4.246924e+02
1.900000e+05,4.154833e+02
1.920000e+05,4.063748e+02
1.940000e+05,3.973667e+02
1.960000e+05,3.884587e+02
1.980000e+05,3.796505e+02
2.000000e+05,3.709417e+02
