x,w
0.000000e+00,3.232937e+03
4.000000e+03,3.112416e+03
8.000000e+03,2.991851e+03
1.200000e+04,2.871785e+03
1.600000e+04,2.752532e+03
2.000000e+04,2.634310e+03
2.400000e+04,2.517288e+03
2.800000e+04,2.401601e+03
3.200000e+04,2.287367e+03
3.600000e+04,2.174690e+03
4.000000e+04,2.063663e+03
4.400000e+04,1.954355e+03
4.800000e+04,1.846851e+03
5.200000e+04,1.741469e+03
5.600000e+04,1.638734e+03
6.000000e+04,1.539138e+03
6.400000e+04,1.443129e+03
6.800000e+04,1.350979e+03
7.200000e+04,1.262815e+03
7.600000e+04,1.178558e+03
8.000000e+04,1.097993e+03
8.400000e+04,1.020815e+03
8.800000e+04,9.467715e+02
9.200000e+04,8.756662e+02
9.600000e+04,8.073507e+02
1.000000e+05,7.417444e+02
1.040000e+05,6.788543e+02
1.080000e+05,6.187096e+02
1.120000e+05,5.614150e+02
1.160000e+05,5.071446e+02
1.200000e+05,4.560639e+02
1.240000e+05,4.083519e+02
1.280000e+05,3.641019e+02
1.320000e+05,3.232212e+02
1.360000e+05,2.854935e+02
1.400000e+05,2.506101e+02
1.440000e+05,2.182546e+02
1.480000e+05,1.881630e+02
1.520000e+05,1.600958e+02
1.560000e+05,1.338566e+02
1.600000e+05,1.093008e+02
1.640000e+05,8.630301e+01
1.680000e+05,6.474054e+01
1.720000e+05,4.453007e+01
1.760000e+05,2.559029e+01
1.800000e+05,7.848546e+00
1.840000e+05,-8.752925e+00
1.880000e+05,-2.427470e+01
1.920000e+05,-3.875415e+01
1.960000e+05,-5.222879e+01
2.000000e+05,-6.473688e+01
2.040000e+05,-7.631616e+01
2.080000e+05,-8.700349e+01
2.120000e+05,-9.683492e+01
2.160000e+05,-1.058457e+02
2.200000e+05,-1.140703e+02
2.240000e+05,-1.215425e+02
2.280000e+05,-1.282953e+02
2.320000e+05,-1.343612e+02
2.360000e+05,-1.397717e+02
2.400000e+05,-1.445577e+02
2.440000e+05,-1.487496e+02
2.480000e+05,-1.523766e+02
2.520000e+05,-1.554677e+02
2.560000e+05,-1.580507e+02
2.600000e+05,-1.601528e+02
2.640000e+05,-1.618005e+02
2.680000e+05,-1.630195e+02
2.720000e+05,-1.638345e+02
2.760000e+05,-1.642698e+02
2.800000e+05,-1.643487e+02
2.840000e+05,-1.640937e+02
2.880000e+05,-1.635265e+02
2.920000e+05,-1.626684e+02
2.960000e+05,-1.615393e+02
3.000000e+05,-1.601590e+02
3.040000e+05,-1.585462e+02
3.080000e+05,-1.567189e+02
3.120000e+05,-1.546944e+02
3.160000e+05,-1.524894e+02
3.200000e+05,-1.501198e+02
3.240000e+05,-1.476007e+02
3.280000e+05,-1.449468e+02
3.320000e+05,-1.421719e+02
3.360000e+05,-1.392893e+02
3.400000e+05,-1.363117e+02
3.440000e+05,-1.332510e+02
3.480000e+05,-1.301186e+02
3.520000e+05,-1.269255e+02
3.560000e+05,-1.236817e+02
3.600000e+05,-1.203971e+02
3.640000e+05,-1.170809e+02
3.680000e+05,-1.137416e+02
3.720000e+05,-1.103874e+02
3.760000e+05,-1.070260e+02
3.800000e+05,-1.036645e+02
3.840000e+05,-1.003097e+02
3.880000e+05,-9.696791e+01
3.920000e+05,-9.364490e+01
3.960000e+05,-9.034617e+01
4.000000e+05,-8.707675e+01
4.040000e+05,-8.384132e+01
4.080000e+05,-8.064419e+01
4.120000e+05,-7.748930e+01
4.160000e+05,-7.438029e+01
4.200000e+05,-7.132043e+01
4.240000e+05,-6.831274e+01
4.280000e+05,-6.535989e+01
4.320000e+05,-6.246430e+01
4.360000e+05,-5.962812e+01
4.400000e+05,-5.685323e+01
4.440000e+05,-5.414128e+01
4.480000e+05,-5.149369e+01
4.520000e+05,-4.891165e+01
4.560000e+05,-4.639616e+01
