x,w
0.000000e+00,3.232951e+03
2.000000e+03,3.172766e+03
4.000000e+03,3.112444e+03
6.000000e+03,3.052122e+03
8.000000e+03,2.991875e+03
1.000000e+04,2.931755e+03
1.200000e+04,2.871806e+03
1.400000e+04,2.812061e+03
1.600000e+04,2.752550e+03
1.800000e+04,2.693297e+03
2.000000e+04,2.634325e+03
2.200000e+04,2.575653e+03
2.400000e+04,2.517299e+03
2.600000e+04,2.459280e+03
2.800000e+04,2.401609e+03
3.000000e+04,2.344302e+03
3.200000e+04,2.287372e+03
3.400000e+04,2.230832e+03
3.600000e+04,2.174693e+03
3.800000e+04,2.118967e+03
4.000000e+04,2.063663e+03
4.200000e+04,2.008791e+03
4.400000e+04,1.954353e+03
4.600000e+04,1.900360e+03
4.800000e+04,1.846844e+03
5.000000e+04,1.793860e+03
5.200000e+04,1.741467e+03
5.400000e+04,1.689730e+03
5.600000e+04,1.638720e+03
5.800000e+04,1.588500e+03
6.000000e+04,1.539127e+03
6.200000e+04,1.490650e+03
6.400000e+04,1.443110e+03
6.600000e+04,1.396537e+03
6.800000e+04,1.350953e+03
7.000000e+04,1.306367e+03
7.200000e+04,1.262777e+03
7.400000e+04,1.220166e+03
7.600000e+04,1.178511e+03
7.800000e+04,1.137778e+03
8.000000e+04,1.097932e+03
8.200000e+04,1.058937e+03
8.400000e+04,1.020757e+03
8.600000e+04,9.833595e+02
8.800000e+04,9.467185e+02
9.000000e+04,9.108109e+02
9.200000e+04,8.756163e+02
9.400000e+04,8.411186e+02
9.600000e+04,8.073071e+02
9.800000e+04,7.741749e+02
1.000000e+05,7.417181e+02
1.020000e+05,7.099371e+02
1.040000e+05,6.788354e+02
1.060000e+05,6.484203e+02
1.080000e+05,6.187034e+02
1.100000e+05,5.896993e+02
1.120000e+05,5.614261e+02
1.140000e+05,5.339046e+02
1.160000e+05,5.071564e+02
1.180000e+05,4.812061e+02
1.200000e+05,4.560784e+02
1.220000e+05,4.317937e+02
1.240000e+05,4.083677e+02
1.260000e+05,3.858073e+02
1.280000e+05,3.641083e+02
1.300000e+05,3.432565e+02
1.320000e+05,3.232265e+02
1.340000e+05,3.039853e+02
1.360000e+05,2.854960e+02
1.380000e+05,2.677173e+02
1.400000e+05,2.506098e+02
1.420000e+05,2.341358e+02
1.440000e+05,2.182581e+02
1.460000e+05,2.029445e+02
1.480000e+05,1.881647e+02
1.500000e+05,1.738900e+02
1.520000e+05,1.600973e+02
1.540000e+05,1.467631e+02
1.560000e+05,1.338653e+02
1.580000e+05,1.213878e+02
1.600000e+05,1.093131e+02
1.620000e+05,9.762435e+01
1.640000e+05,8.630945e+01
1.660000e+05,7.535554e+01
1.680000e+05,6.474888e+01
1.700000e+05,5.448033e+01
1.720000e+05,4.454008e+01
1.740000e+05,3.491620e+01
1.760000e+05,2.560109e+01
1.780000e+05,1.658744e+01
1.800000e+05,7.864855e+00
1.820000e+05,-5.746316e-01
1.840000e+05,-8.737542e+00
1.860000e+05,-1.663149e+01
1.880000e+05,-2.426023e+01
1.900000e+05,-3.162820e+01
1.920000e+05,-3.874016e+01
1.940000e+05,-4.560092e+01
1.960000e+05,-5.221529e+01
1.980000e+05,-5.858806e+01
2.000000e+05,-6.472396e+01
2.020000e+05,-7.062768e+01
2.040000e+05,-7.630385e+01
2.060000e+05,-8.175705e+01
2.080000e+05,-8.699182e+01
2.100000e+05,-9.201263e+01
2.120000e+05,-9.682391e+01
2.140000e+05,-1.014300e+02
2.160000e+05,-1.058353e+02
2.180000e+05,-1.100441e+02
2.200000e+05,-1.140606e+02
2.220000e+05,-1.178889e+02
2.240000e+05,-1.215334e+02
2.260000e+05,-1.249980e+02
2.280000e+05,-1.282868e+02
2.300000e+05,-1.314039e+02
2.320000e+05,-1.343532e+02
2.340000e+05,-1.371387e+02
2.360000e+05,-1.397643e+02
2.380000e+05,-1.422337e+02
2.400000e+05,-1.445508e+02
2.420000e+05,-1.467194e+02
2.440000e+05,-1.487431e+02
2.460000e+05,-1.506257e+02
2.480000e+05,-1.523707e+02
2.500000e+05,-1.539817e+02
2.520000e+05,-1.554622e+02
2.540000e+05,-1.568157e+02
2.560000e+05,-1.580456e+02
2.580000e+05,-1.591553e+02
2.600000e+05,-1.601481e+02
2.620000e+05,-1.610274e+02
2.640000e+05,-1.617962e+02
2.660000e+05,-1.624579e+02
2.680000e+05,-1.630156e+02
2.700000e+05,-1.634722e+02
2.720000e+05,-1.638310e+02
2.740000e+05,-1.640948e+02
2.760000e+05,-1.642666e+02
2.780000e+05,-1.643494e+02
2.800000e+05,-1.643458e+02
2.820000e+05,-1.642588e+02
2.840000e+05,-1.640911e+02
2.860000e+05,-1.638454e+02
2.880000e+05,-1.635243e+02
2.900000e+05,-1.631304e+02
2.920000e+05,-1.626664e+02
2.940000e+05,-1.621346e+02
2.960000e+05,-1.615376e+02
2.980000e+05,-1.608778e+02
3.000000e+05,-1.601576e+02
3.020000e+05,-1.593792e+02
3.040000e+05,-1.585450e+02
3.060000e+05,-1.576572e+02
3.080000e+05,-1.567179e+02
3.100000e+05,-1.557294e+02
3.120000e+05,-1.546937e+02
3.140000e+05,-1.536128e+02
3.160000e+05,-1.524889e+02
3.180000e+05,-1.513237e+02
3.200000e+05,-1.501194e+02
3.220000e+05,-1.488777e+02
3.240000e+05,-1.476005e+02
3.260000e+05,-1.462896e+02
3.280000e+05,-1.449467e+02
3.300000e+05,-1.435737e+02
3.320000e+05,-1.421720e+02
3.340000e+05,-1.407435e+02
3.360000e+05,-1.392896e+02
3.380000e+05,-1.378120e+02
3.400000e+05,-1.363121e+02
3.420000e+05,-1.347915e+02
3.440000e+05,-1.332515e+02
3.460000e+05,-1.316937e+02
3.480000e+05,-1.301193e+02
3.500000e+05,-1.285297e+02
3.520000e+05,-1.269262e+02
3.540000e+05,-1.253101e+02
3.560000e+05,-1.236826e+02
3.580000e+05,-1.220449e+02
3.600000e+05,-1.203981e+02
3.620000e+05,-1.187434e+02
3.640000e+05,-1.170819e+02
3.660000e+05,-1.154147e+02
3.680000e+05,-1.137427e+02
3.700000e+05,-1.120670e+02
3.720000e+05,-1.103886e+02
3.740000e+05,-1.087084e+02
3.760000e+05,-1.070272e+02
3.780000e+05,-1.053461e+02
3.800000e+05,-1.036658e+02
3.820000e+05,-1.019872e+02
3.840000e+05,-1.003111e+02
3.860000e+05,-9.863823e+01
3.880000e+05,-9.696934e+01
3.900000e+05,-9.530515e+01
3.920000e+05,-9.364637e+01
3.940000e+05,-9.199366e+01
3.960000e+05,-9.034767e+01
3.980000e+05,-8.870901e+01
4.000000e+05,-8.707828e+01
4.020000e+05,-8.545605e+01
4.040000e+05,-8.384287e+01
4.060000e+05,-8.223927e+01
4.080000e+05,-8.064576e+01
4.100000e+05,-7.906281e+01
4.120000e+05,-7.749089e+01
4.140000e+05,-7.593044e+01
4.160000e+05,-7.438188e+01
4.180000e+05,-7.284562e+01
4.200000e+05,-7.132204e+01
4.220000e+05,-6.981150e+01
4.240000e+05,-6.831435e+01
4.260000e+05,-6.683091e+01
4.280000e+05,-6.536150e+01
4.300000e+05,-6.390640e+01
4.320000e+05,-6.246591e+01
4.340000e+05,-6.104026e+01
4.360000e+05,-5.962972e+01
4.380000e+05,-5.823450e+01
4.400000e+05,-5.685482e+01
4.420000e+05,-5.549088e+01
4.440000e+05,-5.414286e+01
4.460000e+05,-5.281093e+01
4.480000e+05,-5.149525e+01
4.500000e+05,-5.019596e+01
4.520000e+05,-4.891320e+01
4.540000e+05,-4.764707e+01
4.560000e+05,-4.639769e+01
4.580000e+05,-4.516514e+01
4.600000e+05,-4.394951e+01
4.620000e+05,-4.275087e+01
4.640000e+05,-4.156928e+01
4.660000e+05,-4.040479e+01
4.680000e+05,-3.925743e+01
4.700000e+05,-3.812723e+01
4.720000e+05,-3.701422e+01
4.740000e+05,-3.591841e+01
4.760000e+05,-3.483978e+01
4.780000e+05,-3.377835e+01
4.800000e+05,-3.273408e+01
4.820000e+05,-3.170696e+01
4.840000e+05,-3.069695e+01
4.860000e+05,-2.970401e+01
4.880000e+05,-2.872809e+01
4.900000e+05,-2.776914e+01
4.920000e+05,-2.682711e+01
4.940000e+05,-2.590191e+01
4.960000e+05,-2.499347e+01
4.980000e+05,-2.410172e+01
5.000000e+05,-2.322656e+01
5.020000e+05,-2.236791e+01
5.040000e+05,-2.152567e+01
5.060000e+05,-2.069974e+01
5.080000e+05,-1.989000e+01
5.100000e+05,-1.909634e+01
5.120000e+05,-1.831865e+01
5.140000e+05,-1.755681e+01
5.160000e+05,-1.681069e+01
5.180000e+05,-1.608016e+01
5.200000e+05,-1.536509e+01
5.220000e+05,-1.466534e+01
5.240000e+05,-1.398078e+01
5.260000e+05,-1.331125e+01
5.280000e+05,-1.265661e+01
5.300000e+05,-1.201672e+01
5.320000e+05,-1.139141e+01
5.340000e+05,-1.078055e+01
5.360000e+05,-1.018396e+01
5.380000e+05,-9.601499e+00
5.400000e+05,-9.032997e+00
5.420000e+05,-8.478292e+00
5.440000e+05,-7.937222e+00
5.460000e+05,-7.409620e+00
5.480000e+05,-6.895317e+00
5.500000e+05,-6.394146e+00
5.520000e+05,-5.905936e+00
5.540000e+05,-5.430517e+00
5.560000e+05,-4.967715e+00
5.580000e+05,-4.517358e+00
5.600000e+05,-4.079272e+00
5.620000e+05,-3.653284e+00
5.640000e+05,-3.239217e+00
5.660000e+05,-2.836898e+00
5.680000e+05,-2.446150e+00
5.700000e+05,-2.066798e+00
5.720000e+05,-1.698665e+00
5.740000e+05,-1.341576e+00
5.760000e+05,-9.953560e-01
5.780000e+05,-6.598282e-01
5.800000e+05,-3.348177e-01
5.820000e+05,-2.014939e-02
5.840000e+05,2.843513e-01
5.860000e+05,5.788586e-01
5.880000e+05,8.635460e-01
5.900000e+05,1.138586e+00
5.920000e+05,1.404152e+00
5.940000e+05,1.660415e+00
5.960000e+05,1.907545e+00
5.980000e+05,2.145713e+00
6.000000e+05,2.375087e+00
6.020000e+05,2.595835e+00
6.040000e+05,2.808124e+00
6.060000e+05,3.012120e+00
6.080000e+05,3.207987e+00
6.100000e+05,3.395889e+00
6.120000e+05,3.575988e+00
6.140000e+05,3.748444e+00
6.160000e+05,3.913418e+00
6.180000e+05,4.071067e+00
6.200000e+05,4.221549e+00
6.220000e+05,4.365018e+00
6.240000e+05,4.501628e+00
6.260000e+05,4.631533e+00
6.280000e+05,4.754883e+00
6.300000e+05,4.871826e+00
6.320000e+05,4.982512e+00
6.340000e+05,5.087086e+00
6.360000e+05,5.185693e+00
6.380000e+05,5.278475e+00
6.400000e+05,5.365574e+00
6.420000e+05,5.447129e+00
6.440000e+05,5.523279e+00
6.460000e+05,5.594159e+00
6.480000e+05,5.659905e+00
6.500000e+05,5.720647e+00
6.520000e+05,5.776518e+00
6.540000e+05,5.827647e+00
6.560000e+05,5.874161e+00
6.580000e+05,5.916186e+00
6.600000e+05,5.953845e+00
6.620000e+05,5.987260e+00
6.640000e+05,6.016553e+00
6.660000e+05,6.041841e+00
6.680000e+05,6.063241e+00
6.700000e+05,6.080868e+00
6.720000e+05,6.094835e+00
6.740000e+05,6.105253e+00
6.760000e+05,6.112232e+00
6.780000e+05,6.115880e+00
6.800000e+05,6.116302e+00
6.820000e+05,6.113602e+00
6.840000e+05,6.107883e+00
6.860000e+05,6.099246e+00
6.880000e+05,6.087789e+00
6.900000e+05,6.073609e+00
6.920000e+05,6.056801e+00
6.940000e+05,6.037460e+00
6.960000e+05,6.015676e+00
6.980000e+05,5.991540e+00
7.000000e+05,5.965141e+00
7.020000e+05,5.936564e+00
7.040000e+05,5.905895e+00
7.060000e+05,5.873217e+00
7.080000e+05,5.838612e+00
7.100000e+05,5.802159e+00
7.120000e+05,5.763937e+00
7.140000e+05,5.724023e+00
7.160000e+05,5.682491e+00
7.180000e+05,5.639415e+00
7.200000e+05,5.594866e+00
7.220000e+05,5.548916e+00
7.240000e+05,5.501633e+00
7.260000e+05,5.453083e+00
