z,sxz,yld
0.00434,-0.005063,1
0.00434,-0.002295,1
0.00434,-0.004214,1
0.00434,-0.001312,1
0.00434,-0.000857,1
0.00434,-0.003002,1
0.00434,0.000852,1
0.00434,0.000958,1
0.00434,0.000246,1
0.00434,-0.000976,1
0.00434,-0.000559,1
0.00434,-0.001923,1
0.00434,-0.002221,1
0.02063,-0.007949,1
0.02063,-0.005155,1
0.02063,-0.007929,1
0.02063,-0.008032,1
0.02063,-0.009964,1
0.02063,-0.006826,1
0.02063,-0.006366,1
0.02063,-0.007252,1
0.02063,-0.005565,1
0.02063,-0.005164,1
0.02063,-0.009780,1
0.02063,-0.008389,1
0.02063,-0.004780,1
0.04187,-0.015788,1
0.04187,-0.011410,1
0.04187,-0.015705,1
0.04187,-0.015377,1
0.04187,-0.016140,1
0.04187,-0.014174,1
0.04187,-0.013226,1
0.04187,-0.014493,1
0.04187,-0.011387,1
0.04187,-0.010696,1
0.04187,-0.017041,1
0.04187,-0.016893,1
0.04187,-0.010878,1
0.05816,-0.018249,1
0.05816,-0.018695,1
0.05816,-0.019381,1
0.05816,-0.024998,1
0.05816,-0.022597,1
0.05816,-0.021001,1
0.05816,-0.019475,1
0.05816,-0.020808,1
0.05816,-0.017778,1
0.05816,-0.017231,1
0.05816,-0.016000,1
0.05816,-0.016646,1
0.05816,-0.016203,1
0.06684,-0.023183,1
0.06684,-0.024673,1
0.06684,-0.021382,1
0.06684,-0.026712,1
0.06684,-0.027879,1
0.06684,-0.028100,1
0.06684,-0.026795,1
0.06684,-0.026911,1
0.06684,-0.022956,1
0.06684,-0.020808,1
0.06684,-0.017691,1
0.06684,-0.017278,1
0.06684,-0.016353,1
0.08313,-0.026521,1
0.08313,-0.027262,1
0.08313,-0.026921,1
0.08313,-0.030499,1
0.08313,-0.028053,1
0.08313,-0.029940,1
0.08313,-0.029575,1
0.08313,-0.030852,1
0.08313,-0.028119,1
0.08313,-0.026598,1
0.08313,-0.024532,1
0.08313,-0.023091,1
0.08313,-0.021581,1
0.10437,-0.038576,1
0.10437,-0.035893,1
0.10437,-0.033423,1
0.10437,-0.036448,1
0.10437,-0.036057,1
0.10437,-0.032526,1
0.10437,-0.036327,1
0.10437,-0.034601,1
0.10437,-0.033086,1
0.10437,-0.032451,1
0.10437,-0.032093,1
0.10437,-0.029646,1
0.10437,-0.027836,1
0.12066,-0.046932,1
0.12066,-0.043262,1
0.12066,-0.037287,1
0.12066,-0.032239,1
0.12066,-0.046595,1
0.12066,-0.041356,1
0.12066,-0.044562,1
0.12066,-0.038076,1
0.12066,-0.040816,1
0.12066,-0.039410,1
0.12066,-0.035445,1
0.12066,-0.036929,1
0.12066,-0.033947,1
0.12934,-0.039627,1
0.12934,-0.044500,1
0.12934,-0.045024,1
0.12934,-0.044944,1
0.12934,-0.041279,1
0.12934,-0.036748,1
0.12934,-0.044458,1
0.12934,-0.045384,1
0.12934,-0.045560,1
0.12934,-0.042159,1
0.12934,-0.042726,1
0.12934,-0.039498,1
0.12934,-0.033773,1
0.14563,-0.055405,1
0.14563,-0.055619,1
0.14563,-0.049101,1
0.14563,-0.047643,1
0.14563,-0.043400,1
0.14563,-0.044463,1
0.14563,-0.045887,1
0.14563,-0.044955,1
0.14563,-0.042196,1
0.14563,-0.046083,1
0.14563,-0.042629,1
0.14563,-0.040773,1
0.14563,-0.047267,1
0.16687,-0.053724,1
0.16687,-0.065376,1
0.16687,-0.065898,1
0.16687,-0.056436,1
0.16687,-0.049911,1
0.16687,-0.048659,1
0.16687,-0.051003,1
0.16687,-0.050461,1
0.16687,-0.047332,1
0.16687,-0.049106,1
0.16687,-0.047508,1
0.16687,-0.056916,1
0.16687,-0.052036,1
0.18316,-0.058426,1
0.18316,-0.060782,1
0.18316,-0.055565,1
0.18316,-0.057899,1
0.18316,-0.056721,1
0.18316,-0.050819,1
0.18316,-0.070277,1
0.18316,-0.071897,1
0.18316,-0.064207,1
0.18316,-0.052556,1
0.18316,-0.056341,1
0.18316,-0.053120,1
0.18316,-0.063036,1
0.19184,-0.056710,1
0.19184,-0.053453,1
0.19184,-0.074029,1
0.19184,-0.058518,1
0.19184,-0.055266,1
0.19184,-0.059387,1
0.19184,-0.065854,1
0.19184,-0.056739,1
0.19184,-0.057492,1
0.19184,-0.056861,1
0.19184,-0.075309,1
0.19184,-0.062143,1
0.19184,-0.058070,1
0.20813,-0.061670,1
0.20813,-0.065360,1
0.20813,-0.072620,1
0.20813,-0.067438,1
0.20813,-0.060454,1
0.20813,-0.060964,1
0.20813,-0.058570,1
0.20813,-0.060719,1
0.20813,-0.060318,1
0.20813,-0.059222,1
0.20813,-0.085659,1
0.20813,-0.084463,1
0.20813,-0.078386,1
0.22937,-0.095930,1
0.22937,-0.093257,1
0.22937,-0.082696,1
0.22937,-0.076661,1
0.22937,-0.075172,1
0.22937,-0.069359,1
0.22937,-0.068507,1
0.22937,-0.066665,1
0.22937,-0.064649,1
0.22937,-0.064150,1
0.22937,-0.064815,1
0.22937,-0.063705,1
0.22937,-0.090331,1
0.24566,-0.096648,1
0.24566,-0.081661,1
0.24566,-0.074010,1
0.24566,-0.070559,1
0.24566,-0.101584,1
0.24566,-0.096485,1
0.24566,-0.087970,1
0.24566,-0.082079,1
0.24566,-0.075996,1
0.24566,-0.071860,1
0.24566,-0.068035,1
0.24566,-0.069414,1
0.24566,-0.068196,1
0.25434,-0.112838,1
0.25434,-0.105776,1
0.25434,-0.106077,1
0.25434,-0.094861,1
0.25434,-0.086254,1
0.25434,-0.084287,1
0.25434,-0.078093,1
0.25434,-0.074850,1
0.25434,-0.072273,1
0.25434,-0.071623,1
0.25434,-0.068529,1
0.25434,-0.070829,1
0.25434,-0.070368,1
0.27063,-0.115982,1
0.27063,-0.109999,1
0.27063,-0.113886,1
0.27063,-0.104215,1
0.27063,-0.097089,1
0.27063,-0.095545,1
0.27063,-0.089708,1
0.27063,-0.084221,1
0.27063,-0.079073,1
0.27063,-0.076730,1
0.27063,-0.071340,1
0.27063,-0.071967,1
0.27063,-0.069879,1
0.29187,-0.124458,1
0.29187,-0.118620,1
0.29187,-0.123733,1
0.29187,-0.114961,1
0.29187,-0.107905,1
0.29187,-0.105504,1
0.29187,-0.100782,1
0.29187,-0.093449,1
0.29187,-0.086521,1
0.29187,-0.083249,1
0.29187,-0.076585,1
0.29187,-0.075817,1
0.29187,-0.072556,1
0.30816,-0.134786,1
0.30816,-0.130932,1
0.30816,-0.122017,1
0.30816,-0.113860,1
0.30816,-0.106651,1
0.30816,-0.098542,1
0.30816,-0.091289,1
0.30816,-0.081675,1
0.30816,-0.080426,1
0.30816,-0.076996,1
0.30816,-0.128033,1
0.30816,-0.109933,1
0.30816,-0.088184,1
0.31684,-0.132623,1
0.31684,-0.133782,1
0.31684,-0.133987,1
0.31684,-0.126846,1
0.31684,-0.120368,1
0.31684,-0.105989,1
0.31684,-0.095560,1
0.31684,-0.090200,1
0.31684,-0.079777,1
0.31684,-0.074649,1
0.31684,-0.138297,1
0.31684,-0.116792,1
0.31684,-0.082937,1
0.33313,-0.129675,0
0.33313,-0.131836,0
0.33313,-0.131150,1
0.33313,-0.126897,1
0.33313,-0.121631,1
0.33313,-0.121145,1
0.33313,-0.111513,1
0.33313,-0.101771,1
0.33313,-0.096296,1
0.33313,-0.089823,1
0.33313,-0.085408,1
0.33313,-0.079569,1
0.33313,-0.132146,1
0.35437,-0.131330,1
0.35437,-0.126765,0
0.35437,-0.132689,1
0.35437,-0.126968,1
0.35437,-0.127845,1
0.35437,-0.119356,1
0.35437,-0.109834,1
0.35437,-0.103587,1
0.35437,-0.092425,1
0.35437,-0.085642,1
0.35437,-0.129128,0
0.35437,-0.127737,0
0.35437,-0.098590,1
0.37066,-0.134336,1
0.37066,-0.137081,0
0.37066,-0.133917,1
0.37066,-0.125989,1
0.37066,-0.116077,1
0.37066,-0.108713,1
0.37066,-0.097600,1
0.37066,-0.090039,1
0.37066,-0.125596,0
0.37066,-0.128994,0
0.37066,-0.129323,0
0.37066,-0.134837,0
0.37066,-0.105256,1
0.37934,-0.125957,0
0.37934,-0.125842,0
0.37934,-0.128633,0
0.37934,-0.123218,0
0.37934,-0.125915,1
0.37934,-0.119466,1
0.37934,-0.112741,1
0.37934,-0.110132,1
0.37934,-0.094796,1
0.37934,-0.122563,0
0.37934,-0.122447,0
0.37934,-0.124617,0
0.37934,-0.102053,1
0.39563,-0.123085,0
0.39563,-0.122502,0
0.39563,-0.123353,0
0.39563,-0.124090,0
0.39563,-0.123726,0
0.39563,-0.121267,0
0.39563,-0.117864,0
0.39563,-0.117749,0
0.39563,-0.111429,0
0.39563,-0.105654,0
0.39563,-0.121435,0
0.39563,-0.121184,0
0.39563,-0.120930,0
0.41687,-0.120304,0
0.41687,-0.119945,0
0.41687,-0.119615,0
0.41687,-0.119951,0
0.41687,-0.120112,0
0.41687,-0.121109,0
0.41687,-0.121285,0
0.41687,-0.120559,0
0.41687,-0.122196,0
0.41687,-0.118946,0
0.41687,-0.115977,0
0.41687,-0.119414,0
0.41687,-0.119051,0
0.43316,-0.117887,0
0.43316,-0.118154,0
0.43316,-0.118233,0
0.43316,-0.118557,0
0.43316,-0.120417,0
0.43316,-0.122379,0
0.43316,-0.123528,0
0.43316,-0.122828,0
0.43316,-0.118100,0
0.43316,-0.125353,0
0.43316,-0.124106,0
0.43316,-0.118589,0
0.43316,-0.117687,0
0.44184,-0.119428,0
0.44184,-0.120316,0
0.44184,-0.124892,0
0.44184,-0.118446,0
0.44184,-0.118153,0
0.44184,-0.119392,0
0.44184,-0.121799,0
0.44184,-0.126417,0
0.44184,-0.118938,0
0.44184,-0.118889,0
0.44184,-0.123605,0
0.44184,-0.125754,0
0.44184,-0.124958,0
0.45813,-0.124203,0
0.45813,-0.121756,0
0.45813,-0.120491,0
0.45813,-0.120092,0
0.45813,-0.120761,0
0.45813,-0.121470,0
0.45813,-0.122688,0
0.45813,-0.126069,0
