x,w
0.000000e+00,3.225838e+03
2.000000e+03,3.165941e+03
4.000000e+03,3.105919e+03
6.000000e+03,3.045928e+03
8.000000e+03,2.986046e+03
1.000000e+04,2.926330e+03
1.200000e+04,2.866819e+03
1.400000e+04,2.807544e+03
1.600000e+04,2.748527e+03
1.800000e+04,2.689779e+03
2.000000e+04,2.631301e+03
2.200000e+04,2.573148e+03
2.400000e+04,2.515369e+03
2.600000e+04,2.458013e+03
2.800000e+04,2.401131e+03
3.000000e+04,2.344776e+03
3.200000e+04,2.288994e+03
3.400000e+04,2.233825e+03
3.600000e+04,2.179294e+03
3.800000e+04,2.125416e+03
4.000000e+04,2.072194e+03
4.200000e+04,2.019625e+03
4.400000e+04,1.967707e+03
4.600000e+04,1.916437e+03
4.800000e+04,1.865811e+03
5.000000e+04,1.815830e+03
5.200000e+04,1.766491e+03
5.400000e+04,1.717797e+03
5.600000e+04,1.669749e+03
5.800000e+04,1.622349e+03
6.000000e+04,1.575598e+03
6.200000e+04,1.529500e+03
6.400000e+04,1.484057e+03
6.600000e+04,1.439271e+03
6.800000e+04,1.395146e+03
7.000000e+04,1.351684e+03
7.200000e+04,1.308887e+03
7.400000e+04,1.266758e+03
7.600000e+04,1.225297e+03
7.800000e+04,1.184508e+03
8.000000e+04,1.144391e+03
8.200000e+04,1.104948e+03
8.400000e+04,1.066179e+03
8.600000e+04,1.028087e+03
8.800000e+04,9.906710e+02
9.000000e+04,9.539325e+02
9.200000e+04,9.178716e+02
9.400000e+04,8.824882e+02
9.600000e+04,8.477823e+02
9.800000e+04,8.137535e+02
1.000000e+05,7.804013e+02
1.020000e+05,7.477251e+02
1.040000e+05,7.157241e+02
1.060000e+05,6.843971e+02
1.080000e+05,6.537429e+02
1.100000e+05,6.237599e+02
1.120000e+05,5.944462e+02
1.140000e+05,5.658002e+02
1.160000e+05,5.378198e+02
1.180000e+05,5.105024e+02
1.200000e+05,4.838452e+02
1.220000e+05,4.578451e+02
1.240000e+05,4.324990e+02
1.260000e+05,4.078035e+02
1.280000e+05,3.837550e+02
1.300000e+05,3.603491e+02
1.320000e+05,3.375811e+02
1.340000e+05,3.154457e+02
1.360000e+05,2.939377e+02
1.380000e+05,2.730518e+02
1.400000e+05,2.527822e+02
1.420000e+05,2.331225e+02
1.440000e+05,2.140659e+02
1.460000e+05,1.956053e+02
1.480000e+05,1.777339e+02
1.500000e+05,1.604437e+02
1.520000e+05,1.437265e+02
1.540000e+05,1.275738e+02
1.560000e+05,1.119771e+02
1.580000e+05,9.692743e+01
1.600000e+05,8.241505e+01
1.620000e+05,6.843037e+01
1.640000e+05,5.496380e+01
1.660000e+05,4.200548e+01
1.680000e+05,2.954477e+01
1.700000e+05,1.757095e+01
1.720000e+05,6.073604e+00
1.740000e+05,-4.957911e+00
1.760000e+05,-1.553455e+01
1.780000e+05,-2.566755e+01
1.800000e+05,-3.536804e+01
1.820000e+05,-4.464676e+01
1.840000e+05,-5.351469e+01
1.860000e+05,-6.198326e+01
1.880000e+05,-7.006371e+01
1.900000e+05,-7.776668e+01
1.920000e+05,-8.510278e+01
1.940000e+05,-9.208332e+01
1.960000e+05,-9.871903e+01
1.980000e+05,-1.050203e+02
2.000000e+05,-1.109972e+02
2.020000e+05,-1.166601e+02
2.040000e+05,-1.220195e+02
2.060000e+05,-1.270851e+02
2.080000e+05,-1.318662e+02
2.100000e+05,-1.363721e+02
2.120000e+05,-1.406126e+02
2.140000e+05,-1.445968e+02
2.160000e+05,-1.483331e+02
2.180000e+05,-1.518296e+02
2.200000e+05,-1.550954e+02
2.220000e+05,-1.581387e+02
2.240000e+05,-1.609672e+02
2.260000e+05,-1.635881e+02
2.280000e+05,-1.660090e+02
2.300000e+05,-1.682375e+02
2.320000e+05,-1.702806e+02
2.340000e+05,-1.721451e+02
2.360000e+05,-1.738368e+02
2.380000e+05,-1.753625e+02
2.400000e+05,-1.767287e+02
2.420000e+05,-1.779417e+02
2.440000e+05,-1.790066e+02
2.460000e+05,-1.799286e+02
2.480000e+05,-1.807137e+02
2.500000e+05,-1.813674e+02
2.520000e+05,-1.818944e+02
2.540000e+05,-1.823001e+02
2.560000e+05,-1.825884e+02
2.580000e+05,-1.827639e+02
2.600000e+05,-1.828319e+02
2.620000e+05,-1.827959e+02
2.640000e+05,-1.826615e+02
2.660000e+05,-1.824307e+02
2.680000e+05,-1.821081e+02
2.700000e+05,-1.816976e+02
2.720000e+05,-1.812035e+02
2.740000e+05,-1.806283e+02
2.760000e+05,-1.799768e+02
2.780000e+05,-1.792499e+02
2.800000e+05,-1.784532e+02
2.820000e+05,-1.775879e+02
2.840000e+05,-1.766592e+02
2.860000e+05,-1.756675e+02
2.880000e+05,-1.746183e+02
2.900000e+05,-1.735120e+02
2.920000e+05,-1.723525e+02
2.940000e+05,-1.711420e+02
2.960000e+05,-1.698825e+02
2.980000e+05,-1.685763e+02
3.000000e+05,-1.672257e+02
3.020000e+05,-1.658329e+02
3.040000e+05,-1.644000e+02
3.060000e+05,-1.629291e+02
3.080000e+05,-1.614224e+02
3.100000e+05,-1.598818e+02
3.120000e+05,-1.583092e+02
3.140000e+05,-1.567065e+02
3.160000e+05,-1.550757e+02
3.180000e+05,-1.534184e+02
3.200000e+05,-1.517365e+02
3.220000e+05,-1.500316e+02
3.240000e+05,-1.483053e+02
3.260000e+05,-1.465593e+02
3.280000e+05,-1.447952e+02
3.300000e+05,-1.430143e+02
3.320000e+05,-1.412183e+02
3.340000e+05,-1.394085e+02
3.360000e+05,-1.375863e+02
3.380000e+05,-1.357531e+02
3.400000e+05,-1.339101e+02
3.420000e+05,-1.320586e+02
3.440000e+05,-1.301998e+02
3.460000e+05,-1.283350e+02
3.480000e+05,-1.264653e+02
3.500000e+05,-1.245918e+02
3.520000e+05,-1.227155e+02
3.540000e+05,-1.208376e+02
3.560000e+05,-1.189590e+02
3.580000e+05,-1.170807e+02
3.600000e+05,-1.152036e+02
3.620000e+05,-1.133287e+02
3.640000e+05,-1.114569e+02
3.660000e+05,-1.095890e+02
3.680000e+05,-1.077259e+02
3.700000e+05,-1.058682e+02
3.720000e+05,-1.040169e+02
3.740000e+05,-1.021726e+02
3.760000e+05,-1.003360e+02
3.780000e+05,-9.850788e+01
3.800000e+05,-9.668881e+01
3.820000e+05,-9.487947e+01
3.840000e+05,-9.308044e+01
3.860000e+05,-9.129230e+01
3.880000e+05,-8.951562e+01
3.900000e+05,-8.775093e+01
3.920000e+05,-8.599873e+01
3.940000e+05,-8.425952e+01
3.960000e+05,-8.253374e+01
3.980000e+05,-8.082186e+01
4.000000e+05,-7.912428e+01
4.020000e+05,-7.744141e+01
4.040000e+05,-7.577362e+01
4.060000e+05,-7.412128e+01
4.080000e+05,-7.248473e+01
4.100000e+05,-7.086428e+01
4.120000e+05,-6.926024e+01
4.140000e+05,-6.767289e+01
4.160000e+05,-6.610250e+01
4.180000e+05,-6.454932e+01
4.200000e+05,-6.301358e+01
4.220000e+05,-6.149550e+01
4.240000e+05,-5.999528e+01
4.260000e+05,-5.851309e+01
4.280000e+05,-5.704912e+01
4.300000e+05,-5.560352e+01
4.320000e+05,-5.417642e+01
4.340000e+05,-5.276795e+01
4.360000e+05,-5.137823e+01
4.380000e+05,-5.000736e+01
4.400000e+05,-4.865541e+01
4.420000e+05,-4.732248e+01
4.440000e+05,-4.600861e+01
4.460000e+05,-4.471386e+01
4.480000e+05,-4.343828e+01
4.500000e+05,-4.218188e+01
4.520000e+05,-4.094469e+01
4.540000e+05,-3.972671e+01
4.560000e+05,-3.852794e+01
4.580000e+05,-3.734837e+01
4.600000e+05,-3.618797e+01
4.620000e+05,-3.504672e+01
4.640000e+05,-3.392458e+01
4.660000e+05,-3.282149e+01
4.680000e+05,-3.173741e+01
4.700000e+05,-3.067227e+01
4.720000e+05,-2.962599e+01
4.740000e+05,-2.859850e+01
4.760000e+05,-2.758971e+01
4.780000e+05,-2.659954e+01
4.800000e+05,-2.562788e+01
4.820000e+05,-2.467462e+01
4.840000e+05,-2.373966e+01
4.860000e+05,-2.282288e+01
4.880000e+05,-2.192415e+01
4.900000e+05,-2.104335e+01
4.920000e+05,-2.018035e+01
4.940000e+05,-1.933501e+01
4.960000e+05,-1.850719e+01
4.980000e+05,-1.769674e+01
5.000000e+05,-1.690351e+01
5.020000e+05,-1.612735e+01
5.040000e+05,-1.536810e+01
5.060000e+05,-1.462560e+01
