x,w
0.000000e+00,2.899253e+03
2.000000e+03,2.850467e+03
4.000000e+03,2.801587e+03
6.000000e+03,2.752727e+03
8.000000e+03,2.703953e+03
1.000000e+04,2.655313e+03
1.200000e+04,2.606847e+03
1.400000e+04,2.558587e+03
1.600000e+04,2.510562e+03
1.800000e+04,2.462795e+03
2.000000e+04,2.415307e+03
2.200000e+04,2.368117e+03
2.400000e+04,2.321243e+03
2.600000e+04,2.274699e+03
2.800000e+04,2.228501e+03
3.000000e+04,2.182662e+03
3.200000e+04,2.137193e+03
3.400000e+04,2.092108e+03
3.600000e+04,2.047416e+03
3.800000e+04,2.003128e+03
4.000000e+04,1.959253e+03
4.200000e+04,1.915802e+03
4.400000e+04,1.872781e+03
4.600000e+04,1.830199e+03
4.800000e+04,1.788064e+03
5.000000e+04,1.746383e+03
5.200000e+04,1.705162e+03
5.400000e+04,1.664407e+03
5.600000e+04,1.624124e+03
5.800000e+04,1.584318e+03
6.000000e+04,1.544994e+03
6.200000e+04,1.506156e+03
6.400000e+04,1.467810e+03
6.600000e+04,1.429957e+03
6.800000e+04,1.392601e+03
7.000000e+04,1.355746e+03
7.200000e+04,1.319394e+03
7.400000e+04,1.283547e+03
7.600000e+04,1.248207e+03
7.800000e+04,1.213376e+03
8.000000e+04,1.179055e+03
8.200000e+04,1.145244e+03
8.400000e+04,1.111946e+03
8.600000e+04,1.079159e+03
8.800000e+04,1.046884e+03
9.000000e+04,1.015122e+03
9.200000e+04,9.838711e+02
9.400000e+04,9.531313e+02
9.600000e+04,9.229017e+02
9.800000e+04,8.931810e+02
1.000000e+05,8.639681e+02
1.020000e+05,8.352613e+02
1.040000e+05,8.070589e+02
1.060000e+05,7.793589e+02
1.080000e+05,7.521592e+02
1.100000e+05,7.254574e+02
1.120000e+05,6.992511e+02
1.140000e+05,6.735375e+02
1.160000e+05,6.483139e+02
1.180000e+05,6.235771e+02
1.200000e+05,5.993240e+02
1.220000e+05,5.755513e+02
1.240000e+05,5.522556e+02
1.260000e+05,5.294333e+02
1.280000e+05,5.070807e+02
1.300000e+05,4.851940e+02
1.320000e+05,4.637692e+02
1.340000e+05,4.428023e+02
1.360000e+05,4.222891e+02
1.380000e+05,4.022255e+02
1.400000e+05,3.826069e+02
1.420000e+05,3.634292e+02
1.440000e+05,3.446876e+02
1.460000e+05,3.263777e+02
1.480000e+05,3.084948e+02
1.500000e+05,2.910341e+02
1.520000e+05,2.739910e+02
1.540000e+05,2.573604e+02
1.560000e+05,2.411376e+02
1.580000e+05,2.253176e+02
1.600000e+05,2.098954e+02
1.620000e+05,1.948660e+02
1.640000e+05,1.802242e+02
1.660000e+05,1.659651e+02
1.680000e+05,1.520834e+02
1.700000e+05,1.385740e+02
1.720000e+05,1.254317e+02
1.740000e+05,1.126514e+02
1.760000e+05,1.002277e+02
1.780000e+05,8.815550e+01
1.800000e+05,7.642952e+01
1.820000e+05,6.504451e+01
1.840000e+05,5.399522e+01
1.860000e+05,4.327640e+01
1.880000e+05,3.288280e+01
1.900000e+05,2.280917e+01
1.920000e+05,1.305027e+01
1.940000e+05,3.600869e+00
1.960000e+05,-5.544247e+00
1.980000e+05,-1.439029e+01
2.000000e+05,-2.294243e+01
2.020000e+05,-3.120586e+01
2.040000e+05,-3.918572e+01
2.060000e+05,-4.688714e+01
2.080000e+05,-5.431522e+01
2.100000e+05,-6.147503e+01
2.120000e+05,-6.837163e+01
2.140000e+05,-7.501003e+01
2.160000e+05,-8.139522e+01
2.180000e+05,-8.753217e+01
2.200000e+05,-9.342578e+01
2.220000e+05,-9.908094e+01
2.240000e+05,-1.045025e+02
2.260000e+05,-1.096953e+02
2.280000e+05,-1.146641e+02
2.300000e+05,-1.194135e+02
2.320000e+05,-1.239484e+02
2.340000e+05,-1.282734e+02
2.360000e+05,-1.323930e+02
2.380000e+05,-1.363118e+02
2.400000e+05,-1.400343e+02
2.420000e+05,-1.435650e+02
2.440000e+05,-1.469083e+02
2.460000e+05,-1.500686e+02
2.480000e+05,-1.530502e+02
2.500000e+05,-1.558574e+02
2.520000e+05,-1.584943e+02
2.540000e+05,-1.609652e+02
2.560000e+05,-1.632743e+02
2.580000e+05,-1.654254e+02
2.600000e+05,-1.674228e+02
2.620000e+05,-1.692703e+02
2.640000e+05,-1.709719e+02
2.660000e+05,-1.725314e+02
2.680000e+05,-1.739526e+02
2.700000e+05,-1.752394e+02
2.720000e+05,-1.763953e+02
2.740000e+05,-1.774241e+02
2.760000e+05,-1.783293e+02
2.780000e+05,-1.791145e+02
2.800000e+05,-1.797831e+02
2.820000e+05,-1.803387e+02
2.840000e+05,-1.807846e+02
2.860000e+05,-1.811240e+02
2.880000e+05,-1.813604e+02
2.900000e+05,-1.814969e+02
2.920000e+05,-1.815366e+02
2.940000e+05,-1.814827e+02
2.960000e+05,-1.813383e+02
2.980000e+05,-1.811063e+02
3.000000e+05,-1.807898e+02
3.020000e+05,-1.803915e+02
3.040000e+05,-1.799144e+02
3.060000e+05,-1.793613e+02
3.080000e+05,-1.787348e+02
3.100000e+05,-1.780377e+02
3.120000e+05,-1.772727e+02
3.140000e+05,-1.764423e+02
3.160000e+05,-1.755490e+02
3.180000e+05,-1.745954e+02
3.200000e+05,-1.735839e+02
3.220000e+05,-1.725169e+02
3.240000e+05,-1.713966e+02
3.260000e+05,-1.702255e+02
3.280000e+05,-1.690057e+02
3.300000e+05,-1.677395e+02
3.320000e+05,-1.664290e+02
3.340000e+05,-1.650763e+02
3.360000e+05,-1.636834e+02
3.380000e+05,-1.622524e+02
3.400000e+05,-1.607852e+02
3.420000e+05,-1.592838e+02
3.440000e+05,-1.577499e+02
3.460000e+05,-1.561855e+02
3.480000e+05,-1.545924e+02
3.500000e+05,-1.529722e+02
3.520000e+05,-1.513266e+02
3.540000e+05,-1.496574e+02
3.560000e+05,-1.479661e+02
3.580000e+05,-1.462543e+02
3.600000e+05,-1.445236e+02
3.620000e+05,-1.427754e+02
3.640000e+05,-1.410112e+02
3.660000e+05,-1.392324e+02
3.680000e+05,-1.374404e+02
3.700000e+05,-1.356366e+02
3.720000e+05,-1.338221e+02
3.740000e+05,-1.319983e+02
3.760000e+05,-1.301665e+02
3.780000e+05,-1.283277e+02
3.800000e+05,-1.264832e+02
3.820000e+05,-1.246342e+02
3.840000e+05,-1.227815e+02
3.860000e+05,-1.209265e+02
3.880000e+05,-1.190699e+02
3.900000e+05,-1.172130e+02
3.920000e+05,-1.153565e+02
3.940000e+05,-1.135015e+02
3.960000e+05,-1.116488e+02
3.980000e+05,-1.097993e+02
4.000000e+05,-1.079538e+02
4.020000e+05,-1.061132e+02
4.040000e+05,-1.042782e+02
4.060000e+05,-1.024495e+02
4.080000e+05,-1.006280e+02
4.100000e+05,-9.881420e+01
4.120000e+05,-9.700890e+01
4.140000e+05,-9.521270e+01
4.160000e+05,-9.342622e+01
4.180000e+05,-9.165006e+01
4.200000e+05,-8.988477e+01
4.220000e+05,-8.813092e+01
4.240000e+05,-8.638902e+01
4.260000e+05,-8.465956e+01
4.280000e+05,-8.294303e+01
4.300000e+05,-8.123988e+01
4.320000e+05,-7.955054e+01
4.340000e+05,-7.787543e+01
4.360000e+05,-7.621492e+01
4.380000e+05,-7.456940e+01
4.400000e+05,-7.293922e+01
4.420000e+05,-7.132471e+01
4.440000e+05,-6.972618e+01
4.460000e+05,-6.814392e+01
4.480000e+05,-6.657822e+01
4.500000e+05,-6.502934e+01
4.520000e+05,-6.349751e+01
4.540000e+05,-6.198297e+01
4.560000e+05,-6.048592e+01
4.580000e+05,-5.900657e+01
4.600000e+05,-5.754508e+01
4.620000e+05,-5.610162e+01
4.640000e+05,-5.467635e+01
4.660000e+05,-5.326940e+01
4.680000e+05,-5.188089e+01
4.700000e+05,-5.051093e+01
4.720000e+05,-4.915962e+01
4.740000e+05,-4.782704e+01
4.760000e+05,-4.651326e+01
4.780000e+05,-4.521834e+01
4.800000e+05,-4.394233e+01
4.820000e+05,-4.268527e+01
4.840000e+05,-4.144718e+01
4.860000e+05,-4.022807e+01
4.880000e+05,-3.902795e+01
4.900000e+05,-3.784683e+01
4.920000e+05,-3.668468e+01
4.940000e+05,-3.554147e+01
4.960000e+05,-3.441719e+01
4.980000e+05,-3.331178e+01
5.000000e+05,-3.222520e+01
5.020000e+05,-3.115739e+01
5.040000e+05,-3.010829e+01
5.060000e+05,-2.907783e+01
5.080000e+05,-2.806592e+01
5.100000e+05,-2.707248e+01
5.120000e+05,-2.609741e+01
5.140000e+05,-2.514063e+01
5.160000e+05,-2.420201e+01
5.180000e+05,-2.328146e+01
5.200000e+05,-2.237886e+01
5.220000e+05,-2.149408e+01
5.240000e+05,-2.062699e+01
5.260000e+05,-1.977747e+01
5.280000e+05,-1.894538e+01
