x,w
0.000000e+00,7.274720e+02
2.000000e+03,7.151369e+02
4.000000e+03,7.028009e+02
6.000000e+03,6.904812e+02
8.000000e+03,6.781909e+02
1.000000e+04,6.659404e+02
1.200000e+04,6.537386e+02
1.400000e+04,6.415929e+02
1.600000e+04,6.295094e+02
1.800000e+04,6.174939e+02
2.000000e+04,6.055511e+02
2.200000e+04,5.936856e+02
2.400000e+04,5.819013e+02
2.600000e+04,5.702019e+02
2.800000e+04,5.585909e+02
3.000000e+04,5.470715e+02
3.200000e+04,5.356466e+02
3.400000e+04,5.243191e+02
3.600000e+04,5.130915e+02
3.800000e+04,5.019665e+02
4.000000e+04,4.909463e+02
4.200000e+04,4.800331e+02
4.400000e+04,4.692290e+02
4.600000e+04,4.585360e+02
4.800000e+04,4.479559e+02
5.000000e+04,4.374904e+02
5.200000e+04,4.271411e+02
5.400000e+04,4.169095e+02
5.600000e+04,4.067970e+02
5.800000e+04,3.968049e+02
6.000000e+04,3.869344e+02
6.200000e+04,3.771865e+02
6.400000e+04,3.675622e+02
6.600000e+04,3.580624e+02
6.800000e+04,3.486880e+02
7.000000e+04,3.394396e+02
7.200000e+04,3.303178e+02
7.400000e+04,3.213233e+02
7.600000e+04,3.124564e+02
7.800000e+04,3.037175e+02
8.000000e+04,2.951069e+02
8.200000e+04,2.866249e+02
8.400000e+04,2.782717e+02
8.600000e+04,2.700472e+02
8.800000e+04,2.619515e+02
9.000000e+04,2.539846e+02
9.200000e+04,2.461463e+02
9.400000e+04,2.384365e+02
9.600000e+04,2.308550e+02
9.800000e+04,2.234014e+02
1.000000e+05,2.160753e+02
1.020000e+05,2.088765e+02
1.040000e+05,2.018044e+02
1.060000e+05,1.948585e+02
1.080000e+05,1.880383e+02
1.100000e+05,1.813432e+02
1.120000e+05,1.747725e+02
1.140000e+05,1.683256e+02
1.160000e+05,1.620017e+02
1.180000e+05,1.558001e+02
1.200000e+05,1.497199e+02
1.220000e+05,1.437603e+02
