x,w
0.000000e+00,1.816469e+03
2.000000e+03,1.785768e+03
4.000000e+03,1.755037e+03
6.000000e+03,1.724332e+03
8.000000e+03,1.693691e+03
1.000000e+04,1.663141e+03
1.200000e+04,1.632707e+03
1.400000e+04,1.602407e+03
1.600000e+04,1.572258e+03
1.800000e+04,1.542275e+03
2.000000e+04,1.512469e+03
2.200000e+04,1.482854e+03
2.400000e+04,1.453438e+03
2.600000e+04,1.424233e+03
2.800000e+04,1.395245e+03
3.000000e+04,1.366484e+03
3.200000e+04,1.337957e+03
3.400000e+04,1.309671e+03
3.600000e+04,1.281632e+03
3.800000e+04,1.253849e+03
4.000000e+04,1.226325e+03
4.200000e+04,1.199067e+03
4.400000e+04,1.172080e+03
4.600000e+04,1.145369e+03
4.800000e+04,1.118938e+03
5.000000e+04,1.092793e+03
5.200000e+04,1.066936e+03
5.400000e+04,1.041373e+03
5.600000e+04,1.016105e+03
5.800000e+04,9.911378e+02
6.000000e+04,9.664732e+02
6.200000e+04,9.421141e+02
6.400000e+04,9.180633e+02
6.600000e+04,8.943230e+02
6.800000e+04,8.708954e+02
7.000000e+04,8.477825e+02
7.200000e+04,8.249860e+02
7.400000e+04,8.025074e+02
7.600000e+04,7.803479e+02
7.800000e+04,7.585088e+02
8.000000e+04,7.369908e+02
8.200000e+04,7.157948e+02
8.400000e+04,6.949213e+02
8.600000e+04,6.743704e+02
8.800000e+04,6.541429e+02
9.000000e+04,6.342378e+02
9.200000e+04,6.146562e+02
9.400000e+04,5.953977e+02
9.600000e+04,5.764603e+02
9.800000e+04,5.578440e+02
1.000000e+05,5.395479e+02
1.020000e+05,5.215710e+02
1.040000e+05,5.039130e+02
1.060000e+05,4.865712e+02
1.080000e+05,4.695441e+02
1.100000e+05,4.528314e+02
1.120000e+05,4.364310e+02
1.140000e+05,4.203408e+02
1.160000e+05,4.045589e+02
1.180000e+05,3.890833e+02
1.200000e+05,3.739111e+02
1.220000e+05,3.590427e+02
1.240000e+05,3.444736e+02
1.260000e+05,3.302017e+02
1.280000e+05,3.162248e+02
1.300000e+05,3.025401e+02
1.320000e+05,2.891452e+02
1.340000e+05,2.760373e+02
1.360000e+05,2.632138e+02
1.380000e+05,2.506719e+02
1.400000e+05,2.384089e+02
1.420000e+05,2.264218e+02
1.440000e+05,2.147078e+02
1.460000e+05,2.032639e+02
1.480000e+05,1.920872e+02
1.500000e+05,1.811747e+02
1.520000e+05,1.705233e+02
1.540000e+05,1.601301e+02
1.560000e+05,1.499918e+02
1.580000e+05,1.401055e+02
1.600000e+05,1.304679e+02
1.620000e+05,1.210759e+02
1.640000e+05,1.119263e+02
1.660000e+05,1.030160e+02
1.680000e+05,9.434171e+01
1.700000e+05,8.590020e+01
1.720000e+05,7.768824e+01
1.740000e+05,6.970259e+01
1.760000e+05,6.193997e+01
1.780000e+05,5.439714e+01
1.800000e+05,4.707080e+01
1.820000e+05,3.995768e+01
1.840000e+05,3.305450e+01
1.860000e+05,2.635798e+01
