x,w
0.000000e+00,3.537939e+03
2.000000e+03,3.466743e+03
4.000000e+03,3.395438e+03
6.000000e+03,3.324140e+03
8.000000e+03,3.252916e+03
1.000000e+04,3.181815e+03
1.200000e+04,3.110881e+03
1.400000e+04,3.040147e+03
1.600000e+04,2.969646e+03
1.800000e+04,2.899402e+03
2.000000e+04,2.829439e+03
2.200000e+04,2.759780e+03
2.400000e+04,2.690444e+03
2.600000e+04,2.621450e+03
2.800000e+04,2.552817e+03
3.000000e+04,2.484562e+03
3.200000e+04,2.416703e+03
3.400000e+04,2.349258e+03
3.600000e+04,2.282244e+03
3.800000e+04,2.215679e+03
4.000000e+04,2.149581e+03
4.200000e+04,2.083968e+03
4.400000e+04,2.018858e+03
4.600000e+04,1.954266e+03
4.800000e+04,1.890203e+03
5.000000e+04,1.826691e+03
5.200000e+04,1.763789e+03
5.400000e+04,1.701592e+03
5.600000e+04,1.640213e+03
5.800000e+04,1.579806e+03
6.000000e+04,1.520524e+03
6.200000e+04,1.462527e+03
6.400000e+04,1.405966e+03
6.600000e+04,1.350979e+03
6.800000e+04,1.297672e+03
7.000000e+04,1.246088e+03
7.200000e+04,1.196181e+03
7.400000e+04,1.147847e+03
7.600000e+04,1.100948e+03
7.800000e+04,1.055352e+03
8.000000e+04,1.010946e+03
8.200000e+04,9.676356e+02
8.400000e+04,9.253489e+02
8.600000e+04,8.840354e+02
8.800000e+04,8.436584e+02
9.000000e+04,8.041956e+02
9.200000e+04,7.656385e+02
9.400000e+04,7.279897e+02
9.600000e+04,6.912636e+02
9.800000e+04,6.554853e+02
1.000000e+05,6.206952e+02
1.020000e+05,5.869518e+02
1.040000e+05,5.543298e+02
1.060000e+05,5.229214e+02
1.080000e+05,4.928304e+02
1.100000e+05,4.641627e+02
1.120000e+05,4.369986e+02
1.140000e+05,4.113907e+02
1.160000e+05,3.873607e+02
1.180000e+05,3.648550e+02
1.200000e+05,3.434638e+02
1.220000e+05,3.230547e+02
1.240000e+05,3.035628e+02
1.260000e+05,2.849212e+02
1.280000e+05,2.670751e+02
1.300000e+05,2.499915e+02
1.320000e+05,2.335899e+02
1.340000e+05,2.177961e+02
1.360000e+05,2.025751e+02
1.380000e+05,1.878971e+02
1.400000e+05,1.737382e+02
1.420000e+05,1.600700e+02
1.440000e+05,1.468693e+02
1.460000e+05,1.341183e+02
1.480000e+05,1.217936e+02
1.500000e+05,1.098772e+02
1.520000e+05,9.835511e+01
1.540000e+05,8.720885e+01
1.560000e+05,7.642294e+01
1.580000e+05,6.598493e+01
1.600000e+05,5.588173e+01
1.620000e+05,4.610629e+01
1.640000e+05,3.665073e+01
1.660000e+05,2.750690e+01
1.680000e+05,1.866674e+01
1.700000e+05,1.012240e+01
1.720000e+05,1.866267e+00
1.740000e+05,-6.109012e+00
1.760000e+05,-1.381052e+01
1.780000e+05,-2.124509e+01
1.800000e+05,-2.841929e+01
1.820000e+05,-3.533946e+01
1.840000e+05,-4.201168e+01
1.860000e+05,-4.844183e+01
1.880000e+05,-5.463557e+01
1.900000e+05,-6.059838e+01
1.920000e+05,-6.633552e+01
1.940000e+05,-7.185211e+01
1.960000e+05,-7.715308e+01
1.980000e+05,-8.224323e+01
2.000000e+05,-8.712722e+01
2.020000e+05,-9.180955e+01
2.040000e+05,-9.629465e+01
2.060000e+05,-1.005868e+02
2.080000e+05,-1.046902e+02
2.100000e+05,-1.086090e+02
2.120000e+05,-1.123472e+02
2.140000e+05,-1.159087e+02
2.160000e+05,-1.192975e+02
2.180000e+05,-1.225173e+02
2.200000e+05,-1.255720e+02
2.220000e+05,-1.284653e+02
2.240000e+05,-1.312008e+02
2.260000e+05,-1.337821e+02
2.280000e+05,-1.362129e+02
2.300000e+05,-1.384967e+02
2.320000e+05,-1.406371e+02
2.340000e+05,-1.426374e+02
2.360000e+05,-1.445011e+02
2.380000e+05,-1.462316e+02
2.400000e+05,-1.478323e+02
2.420000e+05,-1.493064e+02
2.440000e+05,-1.506573e+02
2.460000e+05,-1.518882e+02
2.480000e+05,-1.530024e+02
2.500000e+05,-1.540029e+02
2.520000e+05,-1.548929e+02
2.540000e+05,-1.556754e+02
2.560000e+05,-1.563537e+02
2.580000e+05,-1.569305e+02
2.600000e+05,-1.574090e+02
2.620000e+05,-1.577919e+02
2.640000e+05,-1.580823e+02
2.660000e+05,-1.582828e+02
2.680000e+05,-1.583964e+02
2.700000e+05,-1.584257e+02
2.720000e+05,-1.583735e+02
2.740000e+05,-1.582423e+02
