x,w
0.000000e+00,3.231448e+03
2.000000e+03,3.143340e+03
4.000000e+03,3.055059e+03
6.000000e+03,2.966847e+03
8.000000e+03,2.878831e+03
1.000000e+04,2.791104e+03
1.200000e+04,2.703731e+03
1.400000e+04,2.616769e+03
1.600000e+04,2.530264e+03
1.800000e+04,2.444254e+03
2.000000e+04,2.358775e+03
2.200000e+04,2.273859e+03
2.400000e+04,2.189536e+03
2.600000e+04,2.105831e+03
2.800000e+04,2.022768e+03
3.000000e+04,1.940364e+03
3.200000e+04,1.858636e+03
3.400000e+04,1.777683e+03
3.600000e+04,1.697666e+03
3.800000e+04,1.618790e+03
4.000000e+04,1.541297e+03
4.200000e+04,1.465447e+03
4.400000e+04,1.391591e+03
4.600000e+04,1.320257e+03
4.800000e+04,1.252036e+03
5.000000e+04,1.187237e+03
5.200000e+04,1.125675e+03
5.400000e+04,1.066843e+03
5.600000e+04,1.010222e+03
5.800000e+04,9.554306e+02
6.000000e+04,9.022180e+02
6.200000e+04,8.504201e+02
6.400000e+04,7.999286e+02
6.600000e+04,7.506758e+02
6.800000e+04,7.026265e+02
7.000000e+04,6.557715e+02
7.200000e+04,6.101267e+02
7.400000e+04,5.657357e+02
7.600000e+04,5.226747e+02
7.800000e+04,4.810651e+02
8.000000e+04,4.410827e+02
8.200000e+04,4.030069e+02
8.400000e+04,3.672267e+02
8.600000e+04,3.342506e+02
8.800000e+04,3.044700e+02
9.000000e+04,2.777599e+02
9.200000e+04,2.533094e+02
9.400000e+04,2.308187e+02
9.600000e+04,2.098561e+02
9.800000e+04,1.901697e+02
1.000000e+05,1.716281e+02
1.020000e+05,1.541201e+02
1.040000e+05,1.375657e+02
1.060000e+05,1.218508e+02
1.080000e+05,1.069002e+02
1.100000e+05,9.266218e+01
1.120000e+05,7.909180e+01
1.140000e+05,6.615017e+01
1.160000e+05,5.380222e+01
1.180000e+05,4.201831e+01
1.200000e+05,3.076916e+01
1.220000e+05,2.003249e+01
1.240000e+05,9.784082e+00
1.260000e+05,5.666174e-03
1.280000e+05,-9.323125e+00
1.300000e+05,-1.821811e+01
1.320000e+05,-2.669540e+01
1.340000e+05,-3.477184e+01
1.360000e+05,-4.246063e+01
1.380000e+05,-4.977449e+01
1.400000e+05,-5.672206e+01
1.420000e+05,-6.331300e+01
1.440000e+05,-6.955702e+01
1.460000e+05,-7.546374e+01
1.480000e+05,-8.104263e+01
1.500000e+05,-8.630297e+01
1.520000e+05,-9.125390e+01
1.540000e+05,-9.590440e+01
1.560000e+05,-1.002633e+02
1.580000e+05,-1.043393e+02
1.600000e+05,-1.081409e+02
1.620000e+05,-1.116767e+02
1.640000e+05,-1.149547e+02
1.660000e+05,-1.179833e+02
1.680000e+05,-1.207705e+02
1.700000e+05,-1.233242e+02
1.720000e+05,-1.256521e+02
1.740000e+05,-1.277619e+02
1.760000e+05,-1.296612e+02
1.780000e+05,-1.313573e+02
1.800000e+05,-1.328575e+02
1.820000e+05,-1.341689e+02
1.840000e+05,-1.352984e+02
1.860000e+05,-1.362531e+02
1.880000e+05,-1.370395e+02
1.900000e+05,-1.376643e+02
1.920000e+05,-1.381339e+02
1.940000e+05,-1.384546e+02
1.960000e+05,-1.386326e+02
1.980000e+05,-1.386740e+02
2.000000e+05,-1.385846e+02
2.020000e+05,-1.383703e+02
2.040000e+05,-1.380366e+02
2.060000e+05,-1.375890e+02
2.080000e+05,-1.370330e+02
2.100000e+05,-1.363737e+02
2.120000e+05,-1.356163e+02
2.140000e+05,-1.347657e+02
2.160000e+05,-1.338268e+02
2.180000e+05,-1.328043e+02
2.200000e+05,-1.317027e+02
2.220000e+05,-1.305266e+02
2.240000e+05,-1.292803e+02
2.260000e+05,-1.279679e+02
2.280000e+05,-1.265936e+02
2.300000e+05,-1.251613e+02
2.320000e+05,-1.236750e+02
2.340000e+05,-1.221382e+02
2.360000e+05,-1.205548e+02
2.380000e+05,-1.189280e+02
2.400000e+05,-1.172614e+02
2.420000e+05,-1.155583e+02
2.440000e+05,-1.138217e+02
2.460000e+05,-1.120548e+02
2.480000e+05,-1.102605e+02
2.500000e+05,-1.084417e+02
2.520000e+05,-1.066012e+02
2.540000e+05,-1.047415e+02
2.560000e+05,-1.028653e+02
2.580000e+05,-1.009750e+02
2.600000e+05,-9.907302e+01
2.620000e+05,-9.716158e+01
2.640000e+05,-9.524289e+01
2.660000e+05,-9.331905e+01
2.680000e+05,-9.139207e+01
