x,w
0.000000e+00,3.459406e+03
2.000000e+03,3.389660e+03
4.000000e+03,3.319571e+03
6.000000e+03,3.249461e+03
8.000000e+03,3.179494e+03
1.000000e+04,3.109783e+03
1.200000e+04,3.040417e+03
1.400000e+04,2.971466e+03
1.600000e+04,2.902987e+03
1.800000e+04,2.835030e+03
2.000000e+04,2.767636e+03
2.200000e+04,2.700841e+03
2.400000e+04,2.634676e+03
2.600000e+04,2.569170e+03
2.800000e+04,2.504347e+03
3.000000e+04,2.440231e+03
3.200000e+04,2.376841e+03
3.400000e+04,2.314198e+03
3.600000e+04,2.252317e+03
3.800000e+04,2.191214e+03
4.000000e+04,2.130903e+03
4.200000e+04,2.071398e+03
4.400000e+04,2.012710e+03
4.600000e+04,1.954850e+03
4.800000e+04,1.897827e+03
5.000000e+04,1.841650e+03
5.200000e+04,1.786326e+03
5.400000e+04,1.731863e+03
5.600000e+04,1.678266e+03
5.800000e+04,1.625540e+03
6.000000e+04,1.573689e+03
6.200000e+04,1.522717e+03
6.400000e+04,1.472625e+03
6.600000e+04,1.423417e+03
6.800000e+04,1.375093e+03
7.000000e+04,1.327653e+03
7.200000e+04,1.281098e+03
7.400000e+04,1.235426e+03
7.600000e+04,1.190637e+03
7.800000e+04,1.146728e+03
8.000000e+04,1.103696e+03
8.200000e+04,1.061539e+03
8.400000e+04,1.020253e+03
8.600000e+04,9.798339e+02
8.800000e+04,9.402771e+02
9.000000e+04,9.015777e+02
9.200000e+04,8.637303e+02
9.400000e+04,8.267290e+02
9.600000e+04,7.905677e+02
9.800000e+04,7.552398e+02
1.000000e+05,7.207384e+02
1.020000e+05,6.870562e+02
1.040000e+05,6.541858e+02
1.060000e+05,6.221192e+02
1.080000e+05,5.908484e+02
1.100000e+05,5.603650e+02
1.120000e+05,5.306604e+02
1.140000e+05,5.017257e+02
1.160000e+05,4.735519e+02
1.180000e+05,4.461298e+02
1.200000e+05,4.194498e+02
1.220000e+05,3.935024e+02
1.240000e+05,3.682779e+02
1.260000e+05,3.437663e+02
