x,w
0.000000e+00,2.429580e+03
2.000000e+03,2.395509e+03
4.000000e+03,2.361414e+03
6.000000e+03,2.327339e+03
8.000000e+03,2.293309e+03
1.000000e+04,2.259347e+03
1.200000e+04,2.225471e+03
1.400000e+04,2.191696e+03
1.600000e+04,2.158035e+03
1.800000e+04,2.124501e+03
2.000000e+04,2.091104e+03
2.200000e+04,2.057854e+03
2.400000e+04,2.024761e+03
2.600000e+04,1.991832e+03
2.800000e+04,1.959076e+03
3.000000e+04,1.926500e+03
3.200000e+04,1.894111e+03
3.400000e+04,1.861916e+03
3.600000e+04,1.829922e+03
3.800000e+04,1.798135e+03
4.000000e+04,1.766561e+03
4.200000e+04,1.735205e+03
4.400000e+04,1.704072e+03
4.600000e+04,1.673169e+03
4.800000e+04,1.642500e+03
5.000000e+04,1.612069e+03
5.200000e+04,1.581882e+03
5.400000e+04,1.551942e+03
5.600000e+04,1.522253e+03
5.800000e+04,1.492820e+03
6.000000e+04,1.463647e+03
6.200000e+04,1.434736e+03
6.400000e+04,1.406091e+03
6.600000e+04,1.377715e+03
6.800000e+04,1.349611e+03
7.000000e+04,1.321782e+03
7.200000e+04,1.294231e+03
7.400000e+04,1.266959e+03
7.600000e+04,1.239970e+03
7.800000e+04,1.213265e+03
8.000000e+04,1.186846e+03
8.200000e+04,1.160715e+03
8.400000e+04,1.134874e+03
8.600000e+04,1.109324e+03
8.800000e+04,1.084066e+03
9.000000e+04,1.059102e+03
9.200000e+04,1.034433e+03
9.400000e+04,1.010059e+03
9.600000e+04,9.859820e+02
9.800000e+04,9.622018e+02
1.000000e+05,9.387192e+02
1.020000e+05,9.155347e+02
1.040000e+05,8.926485e+02
1.060000e+05,8.700607e+02
1.080000e+05,8.477716e+02
1.100000e+05,8.257810e+02
1.120000e+05,8.040888e+02
1.140000e+05,7.826947e+02
1.160000e+05,7.615984e+02
1.180000e+05,7.407994e+02
1.200000e+05,7.202972e+02
1.220000e+05,7.000912e+02
1.240000e+05,6.801805e+02
1.260000e+05,6.605645e+02
1.280000e+05,6.412421e+02
1.300000e+05,6.222125e+02
1.320000e+05,6.034745e+02
1.340000e+05,5.850269e+02
1.360000e+05,5.668687e+02
1.380000e+05,5.489985e+02
1.400000e+05,5.314149e+02
1.420000e+05,5.141166e+02
1.440000e+05,4.971020e+02
1.460000e+05,4.803695e+02
