x,w
0.000000e+00,3.349069e+03
2.000000e+03,3.284776e+03
4.000000e+03,3.220332e+03
6.000000e+03,3.155886e+03
8.000000e+03,3.091514e+03
1.000000e+04,3.027275e+03
1.200000e+04,2.963211e+03
1.400000e+04,2.899359e+03
1.600000e+04,2.835751e+03
1.800000e+04,2.772407e+03
2.000000e+04,2.709336e+03
2.200000e+04,2.646577e+03
2.400000e+04,2.584176e+03
2.600000e+04,2.522173e+03
2.800000e+04,2.460612e+03
3.000000e+04,2.399532e+03
3.200000e+04,2.338970e+03
3.400000e+04,2.278960e+03
3.600000e+04,2.219532e+03
3.800000e+04,2.160711e+03
4.000000e+04,2.102521e+03
4.200000e+04,2.044980e+03
4.400000e+04,1.988108e+03
4.600000e+04,1.931924e+03
4.800000e+04,1.876444e+03
5.000000e+04,1.821683e+03
5.200000e+04,1.767658e+03
5.400000e+04,1.714381e+03
5.600000e+04,1.661868e+03
5.800000e+04,1.610130e+03
6.000000e+04,1.559178e+03
6.200000e+04,1.509025e+03
6.400000e+04,1.459679e+03
6.600000e+04,1.411149e+03
6.800000e+04,1.363445e+03
7.000000e+04,1.316572e+03
7.200000e+04,1.270537e+03
7.400000e+04,1.225346e+03
7.600000e+04,1.181005e+03
7.800000e+04,1.137517e+03
8.000000e+04,1.094886e+03
8.200000e+04,1.053114e+03
8.400000e+04,1.012205e+03
8.600000e+04,9.721626e+02
8.800000e+04,9.329871e+02
9.000000e+04,8.946786e+02
9.200000e+04,8.572374e+02
9.400000e+04,8.206634e+02
9.600000e+04,7.849564e+02
9.800000e+04,7.501163e+02
1.000000e+05,7.161405e+02
1.020000e+05,6.830251e+02
1.040000e+05,6.507675e+02
1.060000e+05,6.193640e+02
1.080000e+05,5.888089e+02
1.100000e+05,5.590973e+02
1.120000e+05,5.302232e+02
1.140000e+05,5.021787e+02
1.160000e+05,4.749554e+02
1.180000e+05,4.485441e+02
1.200000e+05,4.229354e+02
1.220000e+05,3.981184e+02
1.240000e+05,3.740809e+02
1.260000e+05,3.508112e+02
1.280000e+05,3.282971e+02
1.300000e+05,3.065250e+02
1.320000e+05,2.854799e+02
1.340000e+05,2.651475e+02
1.360000e+05,2.455127e+02
1.380000e+05,2.265600e+02
1.400000e+05,2.082741e+02
1.420000e+05,1.906390e+02
1.440000e+05,1.736384e+02
1.460000e+05,1.572561e+02
1.480000e+05,1.414758e+02
1.500000e+05,1.262811e+02
1.520000e+05,1.116567e+02
1.540000e+05,9.758673e+01
1.560000e+05,8.405478e+01
1.580000e+05,7.104569e+01
1.600000e+05,5.854314e+01
1.620000e+05,4.653188e+01
1.640000e+05,3.499863e+01
1.660000e+05,2.392904e+01
1.680000e+05,1.330806e+01
1.700000e+05,3.121673e+00
1.720000e+05,-6.644169e+00
1.740000e+05,-1.600277e+01
1.760000e+05,-2.496530e+01
1.780000e+05,-3.354433e+01
1.800000e+05,-4.175246e+01
1.820000e+05,-4.960309e+01
1.840000e+05,-5.710550e+01
1.860000e+05,-6.427278e+01
1.880000e+05,-7.111438e+01
1.900000e+05,-7.764031e+01
1.920000e+05,-8.386140e+01
1.940000e+05,-8.978719e+01
1.960000e+05,-9.542860e+01
1.980000e+05,-1.007923e+02
2.000000e+05,-1.058896e+02
2.020000e+05,-1.107289e+02
2.040000e+05,-1.153176e+02
2.060000e+05,-1.196640e+02
2.080000e+05,-1.237748e+02
2.100000e+05,-1.276606e+02
2.120000e+05,-1.313262e+02
2.140000e+05,-1.347795e+02
2.160000e+05,-1.380306e+02
2.180000e+05,-1.410815e+02
2.200000e+05,-1.439401e+02
2.220000e+05,-1.466145e+02
2.240000e+05,-1.491058e+02
2.260000e+05,-1.514270e+02
2.280000e+05,-1.535804e+02
2.300000e+05,-1.555697e+02
2.320000e+05,-1.574052e+02
2.340000e+05,-1.590879e+02
