x,w
0.000000e+00,3.254614e+03
2.000000e+03,3.193228e+03
4.000000e+03,3.131602e+03
6.000000e+03,3.069941e+03
8.000000e+03,3.008338e+03
1.000000e+04,2.946856e+03
1.200000e+04,2.885543e+03
1.400000e+04,2.824435e+03
1.600000e+04,2.763564e+03
1.800000e+04,2.702955e+03
2.000000e+04,2.642630e+03
2.200000e+04,2.582606e+03
2.400000e+04,2.522901e+03
2.600000e+04,2.463528e+03
2.800000e+04,2.404498e+03
3.000000e+04,2.345822e+03
3.200000e+04,2.287507e+03
3.400000e+04,2.229557e+03
3.600000e+04,2.171968e+03
3.800000e+04,2.114754e+03
4.000000e+04,2.057972e+03
4.200000e+04,2.001726e+03
4.400000e+04,1.946141e+03
4.600000e+04,1.891330e+03
4.800000e+04,1.837352e+03
5.000000e+04,1.784231e+03
5.200000e+04,1.731981e+03
5.400000e+04,1.680624e+03
5.600000e+04,1.630191e+03
5.800000e+04,1.580717e+03
6.000000e+04,1.532238e+03
6.200000e+04,1.484783e+03
6.400000e+04,1.438369e+03
6.600000e+04,1.392999e+03
6.800000e+04,1.348659e+03
7.000000e+04,1.305322e+03
7.200000e+04,1.262949e+03
7.400000e+04,1.221496e+03
7.600000e+04,1.180918e+03
7.800000e+04,1.141168e+03
8.000000e+04,1.102203e+03
8.200000e+04,1.063983e+03
8.400000e+04,1.026471e+03
8.600000e+04,9.896365e+02
8.800000e+04,9.534530e+02
9.000000e+04,9.178966e+02
9.200000e+04,8.829475e+02
9.400000e+04,8.485893e+02
9.600000e+04,8.148084e+02
9.800000e+04,7.815944e+02
1.000000e+05,7.489393e+02
1.020000e+05,7.168375e+02
1.040000e+05,6.852859e+02
1.060000e+05,6.542836e+02
1.080000e+05,6.238325e+02
1.100000e+05,5.939364e+02
1.120000e+05,5.646013e+02
1.140000e+05,5.358360e+02
1.160000e+05,5.076519e+02
1.180000e+05,4.800628e+02
1.200000e+05,4.530856e+02
1.220000e+05,4.267403e+02
1.240000e+05,4.010501e+02
1.260000e+05,3.760409e+02
1.280000e+05,3.517412e+02
1.300000e+05,3.281817e+02
1.320000e+05,3.053946e+02
1.340000e+05,2.834114e+02
1.360000e+05,2.622601e+02
1.380000e+05,2.419623e+02
1.400000e+05,2.225306e+02
1.420000e+05,2.039664e+02
1.440000e+05,1.862578e+02
1.460000e+05,1.693810e+02
1.480000e+05,1.533023e+02
1.500000e+05,1.379811e+02
1.520000e+05,1.233738e+02
1.540000e+05,1.094370e+02
1.560000e+05,9.612906e+01
1.580000e+05,8.341169e+01
1.600000e+05,7.124991e+01
1.620000e+05,5.961257e+01
1.640000e+05,4.847208e+01
1.660000e+05,3.780387e+01
1.680000e+05,2.758640e+01
1.700000e+05,1.779802e+01
1.720000e+05,8.418255e+00
1.740000e+05,-5.637228e-01
1.760000e+05,-9.154467e+00
1.780000e+05,-1.736730e+01
1.800000e+05,-2.522953e+01
1.820000e+05,-3.275467e+01
1.840000e+05,-3.995502e+01
1.860000e+05,-4.684351e+01
1.880000e+05,-5.343061e+01
1.900000e+05,-5.972808e+01
1.920000e+05,-6.574672e+01
1.940000e+05,-7.149538e+01
1.960000e+05,-7.698549e+01
1.980000e+05,-8.222539e+01
2.000000e+05,-8.722413e+01
2.020000e+05,-9.199212e+01
2.040000e+05,-9.653610e+01
2.060000e+05,-1.008653e+02
2.080000e+05,-1.049889e+02
2.100000e+05,-1.089131e+02
2.120000e+05,-1.126463e+02
2.140000e+05,-1.161968e+02
2.160000e+05,-1.195708e+02
2.180000e+05,-1.227736e+02
2.200000e+05,-1.258077e+02
2.220000e+05,-1.286768e+02
2.240000e+05,-1.313846e+02
2.260000e+05,-1.339351e+02
2.280000e+05,-1.363322e+02
2.300000e+05,-1.385798e+02
2.320000e+05,-1.406817e+02
2.340000e+05,-1.426419e+02
2.360000e+05,-1.444642e+02
2.380000e+05,-1.461522e+02
2.400000e+05,-1.477096e+02
2.420000e+05,-1.491401e+02
2.440000e+05,-1.504472e+02
2.460000e+05,-1.516344e+02
2.480000e+05,-1.527051e+02
2.500000e+05,-1.536626e+02
2.520000e+05,-1.545103e+02
2.540000e+05,-1.552513e+02
2.560000e+05,-1.558889e+02
2.580000e+05,-1.564261e+02
2.600000e+05,-1.568661e+02
2.620000e+05,-1.572118e+02
2.640000e+05,-1.574661e+02
2.660000e+05,-1.576319e+02
2.680000e+05,-1.577121e+02
2.700000e+05,-1.577094e+02
2.720000e+05,-1.576266e+02
2.740000e+05,-1.574663e+02
2.760000e+05,-1.572312e+02
2.780000e+05,-1.569237e+02
2.800000e+05,-1.565465e+02
2.820000e+05,-1.561020e+02
2.840000e+05,-1.555926e+02
2.860000e+05,-1.550208e+02
2.880000e+05,-1.543887e+02
2.900000e+05,-1.536988e+02
2.920000e+05,-1.529532e+02
2.940000e+05,-1.521541e+02
2.960000e+05,-1.513037e+02
2.980000e+05,-1.504041e+02
3.000000e+05,-1.494574e+02
3.020000e+05,-1.484655e+02
3.040000e+05,-1.474304e+02
3.060000e+05,-1.463541e+02
3.080000e+05,-1.452384e+02
3.100000e+05,-1.440852e+02
3.120000e+05,-1.428963e+02
3.140000e+05,-1.416735e+02
3.160000e+05,-1.404184e+02
3.180000e+05,-1.391328e+02
3.200000e+05,-1.378183e+02
3.220000e+05,-1.364765e+02
3.240000e+05,-1.351090e+02
3.260000e+05,-1.337173e+02
3.280000e+05,-1.323029e+02
3.300000e+05,-1.308672e+02
3.320000e+05,-1.294118e+02
3.340000e+05,-1.279379e+02
3.360000e+05,-1.264469e+02
3.380000e+05,-1.249401e+02
3.400000e+05,-1.234188e+02
3.420000e+05,-1.218842e+02
3.440000e+05,-1.203376e+02
3.460000e+05,-1.187801e+02
3.480000e+05,-1.172129e+02
3.500000e+05,-1.156371e+02
3.520000e+05,-1.140537e+02
3.540000e+05,-1.124638e+02
3.560000e+05,-1.108684e+02
3.580000e+05,-1.092686e+02
3.600000e+05,-1.076652e+02
3.620000e+05,-1.060593e+02
3.640000e+05,-1.044516e+02
3.660000e+05,-1.028431e+02
3.680000e+05,-1.012346e+02
3.700000e+05,-9.962700e+01
3.720000e+05,-9.802097e+01
3.740000e+05,-9.641732e+01
3.760000e+05,-9.481679e+01
3.780000e+05,-9.322008e+01
3.800000e+05,-9.162790e+01
3.820000e+05,-9.004089e+01
3.840000e+05,-8.845970e+01
3.860000e+05,-8.688494e+01
3.880000e+05,-8.531719e+01
3.900000e+05,-8.375703e+01
3.920000e+05,-8.220501e+01
3.940000e+05,-8.066164e+01
3.960000e+05,-7.912743e+01
3.980000e+05,-7.760286e+01
4.000000e+05,-7.608840e+01
4.020000e+05,-7.458447e+01
4.040000e+05,-7.309151e+01
4.060000e+05,-7.160991e+01
4.080000e+05,-7.014006e+01
4.100000e+05,-6.868232e+01
4.120000e+05,-6.723704e+01
4.140000e+05,-6.580455e+01
4.160000e+05,-6.438516e+01
4.180000e+05,-6.297916e+01
4.200000e+05,-6.158684e+01
4.220000e+05,-6.020845e+01
4.240000e+05,-5.884425e+01
4.260000e+05,-5.749447e+01
4.280000e+05,-5.615931e+01
4.300000e+05,-5.483900e+01
4.320000e+05,-5.353370e+01
4.340000e+05,-5.224361e+01
4.360000e+05,-5.096887e+01
4.380000e+05,-4.970964e+01
4.400000e+05,-4.846606e+01
4.420000e+05,-4.723825e+01
4.440000e+05,-4.602631e+01
