x,w
0.000000e+00,3.232943e+03
2.000000e+03,3.172759e+03
4.000000e+03,3.112436e+03
6.000000e+03,3.052115e+03
8.000000e+03,2.991869e+03
1.000000e+04,2.931750e+03
1.200000e+04,2.871801e+03
1.400000e+04,2.812057e+03
1.600000e+04,2.752546e+03
1.800000e+04,2.693294e+03
2.000000e+04,2.634323e+03
2.200000e+04,2.575652e+03
2.400000e+04,2.517298e+03
2.600000e+04,2.459279e+03
2.800000e+04,2.401609e+03
3.000000e+04,2.344303e+03
3.200000e+04,2.287373e+03
3.400000e+04,2.230834e+03
3.600000e+04,2.174695e+03
3.800000e+04,2.118969e+03
4.000000e+04,2.063666e+03
4.200000e+04,2.008795e+03
4.400000e+04,1.954358e+03
4.600000e+04,1.900365e+03
4.800000e+04,1.846850e+03
5.000000e+04,1.793866e+03
5.200000e+04,1.741473e+03
5.400000e+04,1.689737e+03
5.600000e+04,1.638729e+03
5.800000e+04,1.588510e+03
6.000000e+04,1.539140e+03
6.200000e+04,1.490665e+03
6.400000e+04,1.443128e+03
6.600000e+04,1.396557e+03
6.800000e+04,1.350976e+03
7.000000e+04,1.306394e+03
7.200000e+04,1.262807e+03
7.400000e+04,1.220200e+03
7.600000e+04,1.178547e+03
7.800000e+04,1.137817e+03
8.000000e+04,1.097974e+03
8.200000e+04,1.058980e+03
8.400000e+04,1.020800e+03
8.600000e+04,9.834018e+02
8.800000e+04,9.467590e+02
9.000000e+04,9.108486e+02
9.200000e+04,8.756503e+02
9.400000e+04,8.411482e+02
9.600000e+04,8.073316e+02
9.800000e+04,7.741940e+02
1.000000e+05,7.417314e+02
1.020000e+05,7.099443e+02
1.040000e+05,6.788366e+02
1.060000e+05,6.484158e+02
1.080000e+05,6.186934e+02
1.100000e+05,5.896842e+02
1.120000e+05,5.614067e+02
1.140000e+05,5.338818e+02
1.160000e+05,5.071311e+02
1.180000e+05,4.811794e+02
1.200000e+05,4.560515e+02
1.220000e+05,4.317678e+02
1.240000e+05,4.083439e+02
1.260000e+05,3.857864e+02
1.280000e+05,3.640909e+02
1.300000e+05,3.432427e+02
1.320000e+05,3.232159e+02
1.340000e+05,3.039775e+02
1.360000e+05,2.854903e+02
1.380000e+05,2.677131e+02
1.400000e+05,2.506065e+02
1.420000e+05,2.341329e+02
1.440000e+05,2.182552e+02
1.460000e+05,2.029413e+02
1.480000e+05,1.881609e+02
1.500000e+05,1.738854e+02
1.520000e+05,1.600914e+02
1.540000e+05,1.467559e+02
1.560000e+05,1.338566e+02
1.580000e+05,1.213770e+02
1.600000e+05,1.092997e+02
1.620000e+05,9.761108e+01
1.640000e+05,8.629908e+01
1.660000e+05,7.534721e+01
1.680000e+05,6.474115e+01
1.700000e+05,5.447174e+01
1.720000e+05,4.453015e+01
1.740000e+05,3.490508e+01
1.760000e+05,2.558819e+01
1.780000e+05,1.657280e+01
1.800000e+05,7.849124e+00
1.820000e+05,-5.907971e-01
1.840000e+05,-8.753256e+00
1.860000e+05,-1.664669e+01
1.880000e+05,-2.427512e+01
1.900000e+05,-3.164282e+01
1.920000e+05,-3.875449e+01
1.940000e+05,-4.561494e+01
1.960000e+05,-5.222899e+01
1.980000e+05,-5.860142e+01
2.000000e+05,-6.473697e+01
2.020000e+05,-7.064032e+01
2.040000e+05,-7.631612e+01
2.060000e+05,-8.176895e+01
2.080000e+05,-8.700334e+01
2.100000e+05,-9.202377e+01
2.120000e+05,-9.683467e+01
2.140000e+05,-1.014404e+02
2.160000e+05,-1.058453e+02
2.180000e+05,-1.100537e+02
2.200000e+05,-1.140699e+02
2.220000e+05,-1.178979e+02
2.240000e+05,-1.215420e+02
2.260000e+05,-1.250062e+02
2.280000e+05,-1.282947e+02
2.300000e+05,-1.314115e+02
2.320000e+05,-1.343605e+02
2.340000e+05,-1.371457e+02
2.360000e+05,-1.397709e+02
2.380000e+05,-1.422401e+02
2.400000e+05,-1.445569e+02
2.420000e+05,-1.467252e+02
2.440000e+05,-1.487487e+02
2.460000e+05,-1.506310e+02
2.480000e+05,-1.523757e+02
2.500000e+05,-1.539865e+02
2.520000e+05,-1.554667e+02
2.540000e+05,-1.568200e+02
2.560000e+05,-1.580497e+02
2.580000e+05,-1.591592e+02
2.600000e+05,-1.601518e+02
2.620000e+05,-1.610308e+02
2.640000e+05,-1.617995e+02
2.660000e+05,-1.624609e+02
2.680000e+05,-1.630184e+02
2.700000e+05,-1.634749e+02
2.720000e+05,-1.638334e+02
2.740000e+05,-1.640971e+02
2.760000e+05,-1.642687e+02
2.780000e+05,-1.643513e+02
2.800000e+05,-1.643475e+02
2.820000e+05,-1.642604e+02
2.840000e+05,-1.640925e+02
2.860000e+05,-1.638466e+02
2.880000e+05,-1.635254e+02
2.900000e+05,-1.631314e+02
2.920000e+05,-1.626672e+02
2.940000e+05,-1.621353e+02
2.960000e+05,-1.615382e+02
2.980000e+05,-1.608782e+02
3.000000e+05,-1.601579e+02
3.020000e+05,-1.593794e+02
3.040000e+05,-1.585450e+02
3.060000e+05,-1.576571e+02
3.080000e+05,-1.567177e+02
3.100000e+05,-1.557291e+02
3.120000e+05,-1.546933e+02
3.140000e+05,-1.536123e+02
3.160000e+05,-1.524883e+02
3.180000e+05,-1.513230e+02
3.200000e+05,-1.501186e+02
3.220000e+05,-1.488768e+02
3.240000e+05,-1.475995e+02
3.260000e+05,-1.462886e+02
3.280000e+05,-1.449456e+02
3.300000e+05,-1.435725e+02
3.320000e+05,-1.421708e+02
3.340000e+05,-1.407422e+02
3.360000e+05,-1.392882e+02
3.380000e+05,-1.378105e+02
3.400000e+05,-1.363106e+02
3.420000e+05,-1.347899e+02
3.440000e+05,-1.332499e+02
3.460000e+05,-1.316920e+02
3.480000e+05,-1.301176e+02
3.500000e+05,-1.285279e+02
3.520000e+05,-1.269244e+02
3.540000e+05,-1.253083e+02
3.560000e+05,-1.236807e+02
3.580000e+05,-1.220430e+02
3.600000e+05,-1.203962e+02
3.620000e+05,-1.187414e+02
3.640000e+05,-1.170799e+02
3.660000e+05,-1.154126e+02
3.680000e+05,-1.137406e+02
3.700000e+05,-1.120649e+02
3.720000e+05,-1.103865e+02
3.740000e+05,-1.087062e+02
3.760000e+05,-1.070251e+02
3.780000e+05,-1.053439e+02
3.800000e+05,-1.036636e+02
3.820000e+05,-1.019850e+02
3.840000e+05,-1.003089e+02
3.860000e+05,-9.863599e+01
3.880000e+05,-9.696708e+01
3.900000e+05,-9.530289e+01
3.920000e+05,-9.364411e+01
3.940000e+05,-9.199139e+01
3.960000e+05,-9.034539e+01
3.980000e+05,-8.870673e+01
4.000000e+05,-8.707600e+01
4.020000e+05,-8.545377e+01
4.040000e+05,-8.384059e+01
4.060000e+05,-8.223700e+01
4.080000e+05,-8.064348e+01
4.100000e+05,-7.906054e+01
4.120000e+05,-7.748862e+01
4.140000e+05,-7.592818e+01
4.160000e+05,-7.437963e+01
4.180000e+05,-7.284338e+01
4.200000e+05,-7.131980e+01
4.220000e+05,-6.980927e+01
4.240000e+05,-6.831213e+01
4.260000e+05,-6.682870e+01
4.280000e+05,-6.535930e+01
4.300000e+05,-6.390422e+01
4.320000e+05,-6.246374e+01
4.340000e+05,-6.103811e+01
4.360000e+05,-5.962758e+01
4.380000e+05,-5.823237e+01
4.400000e+05,-5.685271e+01
4.420000e+05,-5.548879e+01
4.440000e+05,-5.414078e+01
4.460000e+05,-5.280887e+01
4.480000e+05,-5.149321e+01
4.500000e+05,-5.019395e+01
4.520000e+05,-4.891120e+01
4.540000e+05,-4.764509e+01
4.560000e+05,-4.639573e+01
4.580000e+05,-4.516320e+01
4.600000e+05,-4.394759e+01
4.620000e+05,-4.274897e+01
4.640000e+05,-4.156740e+01
4.660000e+05,-4.040293e+01
4.680000e+05,-3.925559e+01
4.700000e+05,-3.812542e+01
4.720000e+05,-3.701243e+01
4.740000e+05,-3.591664e+01
4.760000e+05,-3.483804e+01
4.780000e+05,-3.377662e+01
