x,w
0.000000e+00,3.954819e+03
2.000000e+03,3.875338e+03
4.000000e+03,3.795625e+03
6.000000e+03,3.715879e+03
8.000000e+03,3.636195e+03
1.000000e+04,3.556642e+03
1.200000e+04,3.477270e+03
1.400000e+04,3.398122e+03
1.600000e+04,3.319233e+03
1.800000e+04,3.240633e+03
2.000000e+04,3.162347e+03
2.200000e+04,3.084398e+03
2.400000e+04,3.006807e+03
2.600000e+04,2.929591e+03
2.800000e+04,2.852769e+03
3.000000e+04,2.776356e+03
3.200000e+04,2.700368e+03
3.400000e+04,2.624816e+03
3.600000e+04,2.549716e+03
3.800000e+04,2.475076e+03
4.000000e+04,2.400906e+03
4.200000e+04,2.327206e+03
4.400000e+04,2.253997e+03
4.600000e+04,2.181330e+03
4.800000e+04,2.109293e+03
5.000000e+04,2.037990e+03
5.200000e+04,1.967576e+03
5.400000e+04,1.898209e+03
5.600000e+04,1.830057e+03
5.800000e+04,1.763295e+03
6.000000e+04,1.698144e+03
6.200000e+04,1.634863e+03
6.400000e+04,1.573699e+03
6.600000e+04,1.514788e+03
6.800000e+04,1.458097e+03
7.000000e+04,1.403443e+03
7.200000e+04,1.350575e+03
7.400000e+04,1.299248e+03
7.600000e+04,1.249253e+03
7.800000e+04,1.200432e+03
8.000000e+04,1.152663e+03
8.200000e+04,1.105858e+03
8.400000e+04,1.059946e+03
8.600000e+04,1.014878e+03
8.800000e+04,9.706131e+02
9.000000e+04,9.271252e+02
9.200000e+04,8.843948e+02
9.400000e+04,8.424105e+02
9.600000e+04,8.011688e+02
9.800000e+04,7.606749e+02
1.000000e+05,7.209413e+02
1.020000e+05,6.819868e+02
1.040000e+05,6.438397e+02
1.060000e+05,6.065394e+02
1.080000e+05,5.701396e+02
1.100000e+05,5.347103e+02
1.120000e+05,5.003413e+02
1.140000e+05,4.671536e+02
1.160000e+05,4.353004e+02
1.180000e+05,4.049769e+02
1.200000e+05,3.763881e+02
1.220000e+05,3.497381e+02
1.240000e+05,3.251566e+02
1.260000e+05,3.024557e+02
1.280000e+05,2.811514e+02
1.300000e+05,2.611210e+02
1.320000e+05,2.422737e+02
1.340000e+05,2.243716e+02
1.360000e+05,2.072895e+02
1.380000e+05,1.909644e+02
1.400000e+05,1.753413e+02
1.420000e+05,1.603719e+02
1.440000e+05,1.460162e+02
1.460000e+05,1.322457e+02
1.480000e+05,1.189980e+02
1.500000e+05,1.062367e+02
1.520000e+05,9.393880e+01
1.540000e+05,8.208205e+01
1.560000e+05,7.064457e+01
1.580000e+05,5.961017e+01
1.600000e+05,4.896225e+01
1.620000e+05,3.868384e+01
1.640000e+05,2.876291e+01
1.660000e+05,1.918712e+01
1.680000e+05,9.942140e+00
1.700000e+05,1.018779e+00
1.720000e+05,-7.592418e+00
1.740000e+05,-1.590314e+01
1.760000e+05,-2.392189e+01
1.780000e+05,-3.165563e+01
1.800000e+05,-3.911479e+01
1.820000e+05,-4.630733e+01
1.840000e+05,-5.323972e+01
1.860000e+05,-5.992035e+01
1.880000e+05,-6.635310e+01
1.900000e+05,-7.254238e+01
1.920000e+05,-7.849294e+01
1.940000e+05,-8.420963e+01
1.960000e+05,-8.969728e+01
1.980000e+05,-9.496070e+01
2.000000e+05,-1.000046e+02
2.020000e+05,-1.048337e+02
2.040000e+05,-1.094527e+02
2.060000e+05,-1.138660e+02
2.080000e+05,-1.180782e+02
2.100000e+05,-1.220937e+02
2.120000e+05,-1.259170e+02
2.140000e+05,-1.295522e+02
2.160000e+05,-1.330038e+02
2.180000e+05,-1.362759e+02
2.200000e+05,-1.393727e+02
2.220000e+05,-1.422983e+02
2.240000e+05,-1.450567e+02
2.260000e+05,-1.476521e+02
2.280000e+05,-1.500883e+02
2.300000e+05,-1.523693e+02
2.320000e+05,-1.544990e+02
2.340000e+05,-1.564811e+02
2.360000e+05,-1.583194e+02
2.380000e+05,-1.600177e+02
