x,w
0.000000e+00,3.232705e+03
2.000000e+03,3.117419e+03
4.000000e+03,3.001944e+03
6.000000e+03,2.886638e+03
8.000000e+03,2.771688e+03
1.000000e+04,2.657219e+03
1.200000e+04,2.543325e+03
1.400000e+04,2.430081e+03
1.600000e+04,2.317549e+03
1.800000e+04,2.205786e+03
2.000000e+04,2.094841e+03
2.200000e+04,1.984756e+03
2.400000e+04,1.875558e+03
2.600000e+04,1.767319e+03
2.800000e+04,1.660273e+03
3.000000e+04,1.554779e+03
3.200000e+04,1.451244e+03
3.400000e+04,1.350370e+03
3.600000e+04,1.253904e+03
3.800000e+04,1.164116e+03
4.000000e+04,1.081595e+03
4.200000e+04,1.004913e+03
4.400000e+04,9.323411e+02
4.600000e+04,8.627719e+02
4.800000e+04,7.956116e+02
5.000000e+04,7.305229e+02
5.200000e+04,6.673159e+02
5.400000e+04,6.059056e+02
5.600000e+04,5.463054e+02
5.800000e+04,4.886184e+02
6.000000e+04,4.330688e+02
6.200000e+04,3.800955e+02
6.400000e+04,3.308066e+02
6.600000e+04,2.870875e+02
6.800000e+04,2.504492e+02
7.000000e+04,2.196271e+02
7.200000e+04,1.928858e+02
7.400000e+04,1.689671e+02
7.600000e+04,1.473597e+02
7.800000e+04,1.275155e+02
8.000000e+04,1.091401e+02
8.200000e+04,9.205519e+01
8.400000e+04,7.612011e+01
8.600000e+04,6.123003e+01
8.800000e+04,4.728482e+01
9.000000e+04,3.418802e+01
9.200000e+04,2.187854e+01
9.400000e+04,1.030327e+01
9.600000e+04,-5.825226e-01
9.800000e+04,-1.081910e+01
1.000000e+05,-2.044193e+01
1.020000e+05,-2.948205e+01
1.040000e+05,-3.796944e+01
1.060000e+05,-4.592820e+01
1.080000e+05,-5.338456e+01
1.100000e+05,-6.036075e+01
1.120000e+05,-6.687552e+01
1.140000e+05,-7.294383e+01
1.160000e+05,-7.858147e+01
1.180000e+05,-8.380401e+01
1.200000e+05,-8.862665e+01
1.220000e+05,-9.306422e+01
1.240000e+05,-9.713122e+01
1.260000e+05,-1.008418e+02
1.280000e+05,-1.042099e+02
1.300000e+05,-1.072491e+02
1.320000e+05,-1.099726e+02
1.340000e+05,-1.123935e+02
1.360000e+05,-1.145246e+02
1.380000e+05,-1.163784e+02
1.400000e+05,-1.179670e+02
1.420000e+05,-1.193025e+02
1.440000e+05,-1.203964e+02
1.460000e+05,-1.212602e+02
1.480000e+05,-1.219049e+02
1.500000e+05,-1.223414e+02
1.520000e+05,-1.225802e+02
1.540000e+05,-1.226316e+02
1.560000e+05,-1.225054e+02
1.580000e+05,-1.222115e+02
1.600000e+05,-1.217591e+02
1.620000e+05,-1.211575e+02
1.640000e+05,-1.204155e+02
1.660000e+05,-1.195417e+02
1.680000e+05,-1.185443e+02
1.700000e+05,-1.174314e+02
1.720000e+05,-1.162108e+02
1.740000e+05,-1.148900e+02
1.760000e+05,-1.134763e+02
1.780000e+05,-1.119765e+02
1.800000e+05,-1.103976e+02
1.820000e+05,-1.087459e+02
1.840000e+05,-1.070277e+02
1.860000e+05,-1.052490e+02
1.880000e+05,-1.034156e+02
1.900000e+05,-1.015330e+02
1.920000e+05,-9.960660e+01
1.940000e+05,-9.764141e+01
1.960000e+05,-9.564233e+01
1.980000e+05,-9.361402e+01
2.000000e+05,-9.156093e+01
2.020000e+05,-8.948732e+01
2.040000e+05,-8.739723e+01
2.060000e+05,-8.529452e+01
2.080000e+05,-8.318287e+01
2.100000e+05,-8.106576e+01
2.120000e+05,-7.894650e+01
2.140000e+05,-7.682822e+01
2.160000e+05,-7.471388e+01
2.180000e+05,-7.260629e+01
2.200000e+05,-7.050808e+01
2.220000e+05,-6.842174e+01
2.240000e+05,-6.634961e+01
2.260000e+05,-6.429387e+01
2.280000e+05,-6.225658e+01
2.300000e+05,-6.023965e+01
2.320000e+05,-5.824486e+01
2.340000e+05,-5.627387e+01
2.360000e+05,-5.432821e+01
2.380000e+05,-5.240929e+01
2.400000e+05,-5.051843e+01
2.420000e+05,-4.865679e+01
2.440000e+05,-4.682548e+01
2.460000e+05,-4.502549e+01
2.480000e+05,-4.325768e+01
2.500000e+05,-4.152287e+01
2.520000e+05,-3.982175e+01
2.540000e+05,-3.815495e+01
2.560000e+05,-3.652300e+01
2.580000e+05,-3.492635e+01
2.600000e+05,-3.336541e+01
2.620000e+05,-3.184047e+01
2.640000e+05,-3.035178e+01
2.660000e+05,-2.889952e+01
2.680000e+05,-2.748381e+01
2.700000e+05,-2.610471e+01
2.720000e+05,-2.476222e+01
2.740000e+05,-2.345631e+01
2.760000e+05,-2.218686e+01
2.780000e+05,-2.095374e+01
2.800000e+05,-1.975675e+01
2.820000e+05,-1.859567e+01
2.840000e+05,-1.747024e+01
2.860000e+05,-1.638014e+01
2.880000e+05,-1.532504e+01
2.900000e+05,-1.430456e+01
2.920000e+05,-1.331832e+01
2.940000e+05,-1.236587e+01
2.960000e+05,-1.144677e+01
2.980000e+05,-1.056055e+01
3.000000e+05,-9.706700e+00
3.020000e+05,-8.884711e+00
3.040000e+05,-8.094046e+00
3.060000e+05,-7.334157e+00
3.080000e+05,-6.604478e+00
3.100000e+05,-5.904432e+00
3.120000e+05,-5.233431e+00
3.140000e+05,-4.590876e+00
3.160000e+05,-3.976159e+00
3.180000e+05,-3.388668e+00
3.200000e+05,-2.827781e+00
3.220000e+05,-2.292875e+00
3.240000e+05,-1.783320e+00
3.260000e+05,-1.298486e+00
3.280000e+05,-8.377410e-01
3.300000e+05,-4.004518e-01
3.320000e+05,1.401362e-02
3.340000e+05,4.062862e-01
3.360000e+05,7.769948e-01
3.380000e+05,1.126765e+00
3.400000e+05,1.456219e+00
3.420000e+05,1.765976e+00
3.440000e+05,2.056646e+00
3.460000e+05,2.328838e+00
3.480000e+05,2.583153e+00
3.500000e+05,2.820185e+00
3.520000e+05,3.040522e+00
3.540000e+05,3.244741e+00
3.560000e+05,3.433416e+00
3.580000e+05,3.607109e+00
3.600000e+05,3.766374e+00
3.620000e+05,3.911757e+00
3.640000e+05,4.043792e+00
3.660000e+05,4.163007e+00
3.680000e+05,4.269917e+00
3.700000e+05,4.365028e+00
3.720000e+05,4.448836e+00
3.740000e+05,4.521826e+00
3.760000e+05,4.584474e+00
3.780000e+05,4.637243e+00
3.800000e+05,4.680587e+00
3.820000e+05,4.714948e+00
3.840000e+05,4.740758e+00
3.860000e+05,4.758437e+00
3.880000e+05,4.768396e+00
3.900000e+05,4.771033e+00
3.920000e+05,4.766736e+00
3.940000e+05,4.755883e+00
3.960000e+05,4.738839e+00
3.980000e+05,4.715960e+00
4.000000e+05,4.687590e+00
4.020000e+05,4.654064e+00
4.040000e+05,4.615706e+00
4.060000e+05,4.572828e+00
4.080000e+05,4.525733e+00
4.100000e+05,4.474714e+00
4.120000e+05,4.420054e+00
