# written by analysis/frame_check.py
# models: data/suite1_strength/dd_vm_asym_60km_V4, data/suite1_strength/dd_vm_sym_60km_V4, data/suite1_strength/elastic_deep_60km_V4, data/suite1_strength/tresca_deep_150_60km_V4, data/suite2_load/tresca_deep_150_60km_V1, data/suite2_load/tresca_deep_150_60km_V1p5, data/suite2_load/tresca_deep_150_60km_V2, data/suite2_load/tresca_deep_150_60km_V2p5, data/suite2_load/tresca_deep_150_60km_V3, data/suite2_load/tresca_deep_150_60km_V3p5, data/suite2_load/tresca_deep_150_60km_V4p5, data/suite3_background/tresca_deep_150_60km_V4_mem-1, data/suite3_background/tresca_deep_150_60km_V4_mem-2, data/suite3_background/tresca_deep_150_60km_V4_mem-3, data/suite3_background/tresca_deep_150_60km_V4_mem1, data/suite3_background/tresca_deep_150_60km_V4_mem2, data/suite3_background/tresca_deep_150_60km_V4_mem3, data/suite4_thickness/tresca_150_30km, data/suite4_thickness/tresca_150_40km, data/suite4_thickness/tresca_150_50km
suite,model,h_km,max_slope_deg,max_cos2theta_departure_pct,mixing_term_at_trench_TN,mixing_first_below_0p02_km,mixing_below_0p02_beyond_km,slope_at_xI_deg,mixing_term_at_xI_TN,x_I_km
suite1_strength,dd_vm_asym_60km_V4,60,1.71929,0.180033,0.4715,77.2293,165.229,0.308392,-0.0167072,173.101
suite1_strength,dd_vm_sym_60km_V4,60,1.84655,0.207661,0.502968,75.0064,153.006,0.284945,-0.0145863,170.639
suite1_strength,elastic_deep_60km_V4,60,1.40008,0.1194,0.385413,83.2772,171.277,0.265742,-0.014864,194.787
suite1_strength,tresca_deep_150_60km_V4,60,1.72832,0.181929,0.472663,79.0696,145.07,0.237331,-0.0120153,181.86
suite2_load,tresca_deep_150_60km_V1,60,0.3534,0.00760872,0.0246142,11.8224,11.8224,0.0666399,-0.000940264,194.395
suite2_load,tresca_deep_150_60km_V1p5,60,0.5292,0.0170613,0.0551905,43.7332,43.7332,0.0999079,-0.00211136,194.46
suite2_load,tresca_deep_150_60km_V2,60,0.704404,0.0302278,0.097772,59.6432,59.6432,0.133142,-0.00374601,194.525
suite2_load,tresca_deep_150_60km_V2p5,60,0.880046,0.0471804,0.152401,69.5518,69.5518,0.166136,-0.00583083,194.551
suite2_load,tresca_deep_150_60km_V3,60,1.07728,0.0706954,0.223306,75.4453,75.4453,0.193735,-0.00806372,193.539
suite2_load,tresca_deep_150_60km_V3p5,60,1.33917,0.109239,0.3226,79.2978,79.2978,0.219571,-0.0103259,189.696
suite2_load,tresca_deep_150_60km_V4p5,60,2.28476,0.317861,0.669066,74.7314,144.731,0.250624,-0.0132062,170.237
suite3_background,tresca_deep_150_60km_V4_mem-1,60,1.83533,0.205146,0.482674,76.6024,138.602,0.238802,-0.0119731,178.846
suite3_background,tresca_deep_150_60km_V4_mem-2,60,2.04398,0.254421,0.533683,72.0461,128.046,0.232119,-0.0113234,172.468
suite3_background,tresca_deep_150_60km_V4_mem-3,60,2.42344,0.357595,0.623895,67.3257,117.326,0.228906,-0.0106432,160.936
suite3_background,tresca_deep_150_60km_V4_mem1,60,1.68765,0.173469,0.461749,79.4875,147.488,0.239616,-0.0120804,182.121
suite3_background,tresca_deep_150_60km_V4_mem2,60,1.69979,0.175973,0.464762,79.8765,149.877,0.24024,-0.0119358,179.635
suite3_background,tresca_deep_150_60km_V4_mem3,60,1.76508,0.189749,0.48179,78.2482,150.248,0.250932,-0.0121896,173.874
suite4_thickness,tresca_150_30km,30,3.30729,0.665652,0.452881,41.0447,67.0447,0.301878,-0.00676846,95.893
suite4_thickness,tresca_150_40km,40,2.52842,0.389227,0.462471,53.055,87.055,0.273113,-0.00859147,126.001
suite4_thickness,tresca_150_50km,50,2.04374,0.254362,0.466945,65.0667,113.067,0.256719,-0.0105167,154.644
