suite,model,strength,h_km,V_TN,N_mem_TN,w_T_m,x_T_km,x_I_km,x_M_km,dGPE_TN,dND_TN,identity_pct,arm_km,arm_over_h,max_plastic_strain,hardening_H_Pa,hardening_increment_MPa,yielded_thickness_xM_pct,yielded_face_zone_pct
suite1_strength,dd_vm_asym_60km_V4,DD-VM asymmetric (depth-dependent von Mises),60,4,0,3225.84,0.770659,173.101,87.0536,2.28775,2.28723,0.0227173,31.4318,0.523863,0.00706052,7e+08,4.94237,38.7755,0
suite1_strength,dd_vm_sym_60km_V4,DD-VM symmetric (depth-dependent von Mises),60,4,0,3349.07,0.993557,170.639,85.0334,2.8357,2.83636,0.0232223,37.5266,0.625443,0.00753396,7e+08,5.27377,55.102,0
suite1_strength,elastic_deep_60km_V4,elastic (sigma_Y -> inf: 1e12 Pa),60,4,0,2899.25,0.722765,194.787,97.3139,2.23367,2.23416,0.021822,34.1457,0.569095,0,0,0,0,0
suite1_strength,tresca_deep_150_60km_V4,"Tresca, uniform",60,4,0,3232.94,0.930385,181.86,89.0731,2.54249,2.54297,0.0190221,34.8549,0.580915,0.011319,0,0,75.5102,0
suite2_load,tresca_deep_150_60km_V1,"Tresca, uniform",60,1,0,727.472,0.177577,194.395,97.1717,0.509334,0.509408,0.0143815,31.0306,0.517176,0,0,0,0,0
suite2_load,tresca_deep_150_60km_V1p5,"Tresca, uniform",60,1.5,0,1090.55,0.266846,194.46,97.193,0.776901,0.777048,0.0190186,31.5736,0.526227,0,0,0,0,0
suite2_load,tresca_deep_150_60km_V2,"Tresca, uniform",60,2,0,1453.18,0.356761,194.525,97.2153,1.05273,1.05296,0.022131,32.107,0.535117,0,0,0,0,0
suite2_load,tresca_deep_150_60km_V2p5,"Tresca, uniform",60,2.5,0,1816.47,0.448151,194.551,97.2059,1.33726,1.33758,0.0238593,32.6281,0.543802,0.000528269,0,0,8.16327,0
suite2_load,tresca_deep_150_60km_V3,"Tresca, uniform",60,3,0,2202.73,0.554661,193.539,96.4275,1.64899,1.64939,0.0243231,33.1788,0.552979,0.00211182,0,0,28.5714,0
suite2_load,tresca_deep_150_60km_V3p5,"Tresca, uniform",60,3.5,0,2656.16,0.702182,189.696,93.8623,2.03252,2.03298,0.0228068,33.9143,0.565239,0.00516137,0,0,53.0612,0
suite2_load,tresca_deep_150_60km_V4p5,"Tresca, uniform",60,4.5,0,3954.82,1.26864,170.237,82.9124,3.1981,3.19787,0.00708602,35.84,0.597333,0.0213427,0,0,81.6327,0
suite3_background,tresca_deep_150_60km_V4_mem-1,"Tresca, uniform",60,4,-1,3339.7,1.39763,178.846,86.4477,2.63766,2.63827,0.0232423,35.0037,0.583395,0.0143468,0,0,77.551,0
suite3_background,tresca_deep_150_60km_V4_mem-2,"Tresca, uniform",60,4,-2,3537.94,1.95391,172.468,81.9619,2.87295,2.8736,0.0223664,35.99,0.599833,0.0194136,0,0,83.6735,0
suite3_background,tresca_deep_150_60km_V4_mem-3,"Tresca, uniform",60,4,-3,3878.65,2.67434,160.936,75.0553,3.30802,3.30888,0.0261285,37.7999,0.629998,0.0279378,0,0,85.7143,0.816327
suite3_background,tresca_deep_150_60km_V4_mem1,"Tresca, uniform",60,4,1,3189.3,0.512494,182.121,90.2406,2.52193,2.52186,0.0027524,35.0461,0.584102,0.0105058,0,0,71.4286,0
suite3_background,tresca_deep_150_60km_V4_mem2,"Tresca, uniform",60,4,2,3196.89,0.123454,179.635,90.0808,2.52713,2.52729,0.00604719,35.0351,0.583919,0.011886,0,0,71.4286,0
suite3_background,tresca_deep_150_60km_V4_mem3,"Tresca, uniform",60,4,3,3254.61,-0.248236,173.874,88.6801,2.55842,2.5582,0.00885906,34.8398,0.580664,0.0144121,0,0,73.4694,0
suite4_thickness,tresca_150_30km,"Tresca, uniform",30,2.0446,0,3232.7,0.955316,95.893,46.7359,1.39976,1.40076,0.0715607,19.1907,0.639691,0.0351823,0,0,83.6735,0
suite4_thickness,tresca_150_40km,"Tresca, uniform",40,2.7016,0,3231.45,0.944982,126.001,61.065,1.78321,1.78392,0.0397251,24.4573,0.611434,0.0231716,0,0,87.7551,0
suite4_thickness,tresca_150_50km,"Tresca, uniform",50,3.3541,0,3226.49,0.933349,154.644,75.2502,2.16048,2.16097,0.0225998,29.6772,0.593544,0.0158751,0,0,83.6735,0
